"lang"
{
"Language"	"korean"
"Tokens"
{
"SteamAddOn_GameTitle"	"%s1 - Steam 게임"
"[english]SteamAddOn_GameTitle"	"%s1 - Steam Game"
"SteamAddOn_AppTitle"	"%s1 - Steam 응용 프로그램"
"[english]SteamAddOn_AppTitle"	"%s1 - Steam App"
"SteamAddOn_Yes"	"예"
"[english]SteamAddOn_Yes"	"Yes"
"SteamAddOn_No"	"아니요"
"[english]SteamAddOn_No"	"No"
"SteamAddOn_Black"	"블랙"
"[english]SteamAddOn_Black"	"Black"
"SteamAddOn_White"	"화이트"
"[english]SteamAddOn_White"	"White"
"SteamAddOn_Red"	"레드"
"[english]SteamAddOn_Red"	"Red"
"SteamAddOn_Turn"	"턴"
"[english]SteamAddOn_Turn"	"Turn"
"SteamAddOn_TurnLabel"	"턴: %s1"
"[english]SteamAddOn_TurnLabel"	"Turn: %s1"
"SteamAddOn_WaitOpponentColor_Title"	"%s1 - 상대방의 색상 선택을 기다리는 중"
"[english]SteamAddOn_WaitOpponentColor_Title"	"%s1 - Waiting for Opponent Color Choice"
"SteamAddOn_WaitOpponentColor_Text"	"%s1 게임을 설정하고 있습니다. %s2 님의 색상 선택을 기다리고 있습니다..."
"[english]SteamAddOn_WaitOpponentColor_Text"	"Setting up %s1 game. Waiting for %s2 to pick color..."
"SteamAddOn_PickColor_Title"	"%s1 - 색상 선택"
"[english]SteamAddOn_PickColor_Title"	"%s1 - Decide Your Color"
"SteamAddOn_PickColor_Text"	"%s1 게임을 설정하고 있습니다. 어떤 색으로 하시겠습니까?"
"[english]SteamAddOn_PickColor_Text"	"Setting Up %s1 game. What color would you like to be?"
"SteamAddOn_ColorWhite"	"당신은 화이트입니다. "
"[english]SteamAddOn_ColorWhite"	"You are White. "
"SteamAddOn_ColorBlack"	"당신은 블랙입니다. "
"[english]SteamAddOn_ColorBlack"	"You are Black. "
"SteamAddOn_ColorRed"	"당신은 레드입니다. "
"[english]SteamAddOn_ColorRed"	"You are Red. "
"SteamAddOn_YourMove"	"당신 차례입니다.\n"
"[english]SteamAddOn_YourMove"	"It is your Move.\n"
"SteamAddOn_OppMove"	"상대방 차례입니다. \n"
"[english]SteamAddOn_OppMove"	"It is your opponent's move. \n"
"SteamAddOn_PlayerRejoin"	"%s1 님이 다시 게임에 참가했습니다."
"[english]SteamAddOn_PlayerRejoin"	"%s1 has rejoined game.\n"
"SteamAddOn_RejoinDenied_Title"	"%s1 - 재참가 거부"
"[english]SteamAddOn_RejoinDenied_Title"	"%s1 - Re-join Denied"
"SteamAddOn_RejoinDenied_Text"	"상대방이 게임에 재참가하기를 거부했습니다."
"[english]SteamAddOn_RejoinDenied_Text"	"Your opponent has declined to rejoin the game."
"SteamAddOn_Turn_GameOver"	"턴: %s1 %s2 님이 이겼습니다."
"[english]SteamAddOn_Turn_GameOver"	"Turn: %s1 %s2 has won.\n"
"SteamAddOn_GameOver_Win"	"플레이어가 %s2에서 %s1 님을 이겼습니다."
"[english]SteamAddOn_GameOver_Win"	"You have beaten %s1 in %s2."
"SteamAddOn_GameOver_Loss"	"%s1 님이 %s2에서 플레이어를 이겼습니다."
"[english]SteamAddOn_GameOver_Loss"	"%s1 has beaten you in %s2."
"SteamAddOn_GameOver_Tie"	"%s1 게임이 비겼습니다."
"[english]SteamAddOn_GameOver_Tie"	"%s1 game has ended in a tie."
"SteamAddOn_Resign_Title"	"%s1 - 상대방이 게임을 포기했습니다"
"[english]SteamAddOn_Resign_Title"	"%s1 - Opponent Resigned From Game"
"SteamAddOn_Resign_Text"	"상대방이 게임을 포기했습니다."
"[english]SteamAddOn_Resign_Text"	"Your opponent has resigned from the game."
"SteamAddOn_GameOver_Title"	"%s1 - 게임 종료"
"[english]SteamAddOn_GameOver_Title"	"%s1 - Game Over"
"SteamAddOn_WaitingForMoveHistory"	"턴 히스토리를 기다리는 중...\n"
"[english]SteamAddOn_WaitingForMoveHistory"	"Waiting for move history...\n"
"SteamAddOn_QuitGameConfirm_Title"	"게임 끝내기"
"[english]SteamAddOn_QuitGameConfirm_Title"	"Quit Game"
"SteamAddOn_QuitGameConfirm_Text"	"게임을 끝내시겠습니까?"
"[english]SteamAddOn_QuitGameConfirm_Text"	"Are you sure you want to quit this game?"
"SteamAddOn_ConfirmResign_Title"	"게임 포기 확인"
"[english]SteamAddOn_ConfirmResign_Title"	"Confirm Resign"
"SteamAddOn_ConfirmResign_Text"	"게임을 포기하시겠습니까?"
"[english]SteamAddOn_ConfirmResign_Text"	"Are you sure you want to resign?"
"SteamAddOn_ResignFromGame_Title"	"게임 포기"
"[english]SteamAddOn_ResignFromGame_Title"	"Resign From Game"
"SteamAddOn_ResignFromGame_Text"	"플레이어가 게임을 포기했습니다."
"[english]SteamAddOn_ResignFromGame_Text"	"You have resigned from the game."
"SteamAddOn_Btn_CloseGameWindow"	"게임 창 닫기"
"[english]SteamAddOn_Btn_CloseGameWindow"	"Close Game Window"
"SteamAddOn_Btn_KeepGameWindow"	"게임 창 유지"
"[english]SteamAddOn_Btn_KeepGameWindow"	"Keep Game Window"
"SteamAddOn_Btn_Pass"	"패스(&P)"
"[english]SteamAddOn_Btn_Pass"	"&Pass"
"SteamAddOn_Btn_Resign"	"포기(&R)"
"[english]SteamAddOn_Btn_Resign"	"&Resign"
"SteamAddOn_Btn_ShowHistory"	"히스토리 보기(&H)"
"[english]SteamAddOn_Btn_ShowHistory"	"Show &History"
"SteamAddOn_Btn_Send"	"보내기(&S)"
"[english]SteamAddOn_Btn_Send"	"&Send"
"SteamAddOn_Opp_Offline"	"%s1 님이 오프라인이 되었습니다."
"[english]SteamAddOn_Opp_Offline"	"%s1 has gone offline.\n"
"SteamAddOn_Opp_Online"	"%s1 님이 다시 온라인이 되었습니다."
"[english]SteamAddOn_Opp_Online"	"%s1 has come back online."
"SteamAddOn_Opp_ExitGame"	"%s1 님이 게임에서 나갔습니다."
"[english]SteamAddOn_Opp_ExitGame"	"%s1 has exited the game.\n"
"SteamAddOn_Waiting_Rejoin"	" 플레이어가 재참가하기를 기다리고 있습니다.\n"
"[english]SteamAddOn_Waiting_Rejoin"	" Waiting for player to re-join game.\n"
"SteamAddOn_Close"	"닫기"
"[english]SteamAddOn_Close"	"Close"
"SteamAddOn_ReviewMoves"	"보드에서 수를 확인하려면\n아래에서 각 수를 클릭하십시오."
"[english]SteamAddOn_ReviewMoves"	"To review moves on the board,\nclick on them below."
"SteamAddOn_BuddyInvite"	"%s1 초대"
"[english]SteamAddOn_BuddyInvite"	"Invite %s1"
"SteamAddOn_InvitationTitle"	"%s1 - 초대"
"[english]SteamAddOn_InvitationTitle"	"%s1 - Invitation"
"SteamAddOn_InvitationText"	"%s1 님이 %s2에 플레이어를 초대했습니다."
"[english]SteamAddOn_InvitationText"	"%s1 has invited you to %s2."
"SteamAddOn_InviteWaitTitle"	"%s1 - 초대 응답 기다리는 중"
"[english]SteamAddOn_InviteWaitTitle"	"%s1 - Waiting on Invite Response"
"SteamAddOn_InviteWaitText"	"%s2 님으로부터 %s1 초대 응답을 기다리고 있습니다."
"[english]SteamAddOn_InviteWaitText"	"Waiting on %s1 Invite Response from %s2"
"SteamAddOn_InviteRejectedTitle"	"%s1 - 초대 거부"
"[english]SteamAddOn_InviteRejectedTitle"	"%s1 - Invite Rejected"
"SteamAddOn_InviteRejectedText"	"%s1 님이 당신의 초대를 거부했습니다."
"[english]SteamAddOn_InviteRejectedText"	"%s1 has rejected your invitation."
"SteamAddOn_OtherPlayerAbortTitle"	"조기 종료"
"[english]SteamAddOn_OtherPlayerAbortTitle"	"Early Quit"
"SteamAddOn_OtherPlayerAbortText"	"%s1 님이 게임을 조기 종료했습니다."
"[english]SteamAddOn_OtherPlayerAbortText"	"%s1 has quit the game early."
"SteamAddOn_RejoinTitle"	"%s1 - 재참가"
"[english]SteamAddOn_RejoinTitle"	"%s1 - Re-join"
"SteamAddOn_RejoinText"	"친구 네트워크에 접속했습니다.\n%s2 님과 함께 %s1에 재참가하시겠습니까?"
"[english]SteamAddOn_RejoinText"	"You have signed on to the Friends Network.\nRe-join %s1 with %s2?"
"SteamAddOn_Btn_Accept"	"확인(&A)"
"[english]SteamAddOn_Btn_Accept"	"&Accept"
"SteamAddOn_Btn_Reject"	"거부(&R)"
"[english]SteamAddOn_Btn_Reject"	"&Reject"
"SteamAddOn_Btn_Yes"	"예(&Y)"
"[english]SteamAddOn_Btn_Yes"	"&Yes"
"SteamAddOn_Btn_No"	"아니요(&N)"
"[english]SteamAddOn_Btn_No"	"&No"
"SteamAddOn_WaitingAbortTitle"	"%s1 - 조기 종료"
"[english]SteamAddOn_WaitingAbortTitle"	"%s1 - Ended Early"
