"lang"
{
"Language"	"hungarian"
"Tokens"
{
"SteamAddOn_GameTitle"	"%s1 - Steam játék"
"[english]SteamAddOn_GameTitle"	"%s1 - Steam Game"
"SteamAddOn_AppTitle"	"%s1 - Steam program"
"[english]SteamAddOn_AppTitle"	"%s1 - Steam App"
"SteamAddOn_Yes"	"Igen"
"[english]SteamAddOn_Yes"	"Yes"
"SteamAddOn_No"	"Nem"
"[english]SteamAddOn_No"	"No"
"SteamAddOn_Black"	"Fekete"
"[english]SteamAddOn_Black"	"Black"
"SteamAddOn_White"	"Fehér"
"[english]SteamAddOn_White"	"White"
"SteamAddOn_Red"	"Piros"
"[english]SteamAddOn_Red"	"Red"
"SteamAddOn_Turn"	"Lépés"
"[english]SteamAddOn_Turn"	"Turn"
"SteamAddOn_TurnLabel"	"Lépés: %s1"
"[english]SteamAddOn_TurnLabel"	"Turn: %s1"
"SteamAddOn_WaitOpponentColor_Title"	"%s1 - Várakozás az ellenfél színválasztására"
"[english]SteamAddOn_WaitOpponentColor_Title"	"%s1 - Waiting for Opponent Color Choice"
"SteamAddOn_WaitOpponentColor_Text"	"%s1 játék beállítása. Várakozás %s2 színválasztására..."
"[english]SteamAddOn_WaitOpponentColor_Text"	"Setting up %s1 game. Waiting for %s2 to pick color..."
"SteamAddOn_PickColor_Title"	"%s1 - Válassz színt"
"[english]SteamAddOn_PickColor_Title"	"%s1 - Decide Your Color"
"SteamAddOn_PickColor_Text"	"%s1 játék beállítása. Melyik színnel szeretnél lenni?"
"[english]SteamAddOn_PickColor_Text"	"Setting Up %s1 game. What color would you like to be?"
"SteamAddOn_ColorWhite"	"Te vagy fehérrel."
"[english]SteamAddOn_ColorWhite"	"You are White. "
"SteamAddOn_ColorBlack"	"Te vagy feketével."
"[english]SteamAddOn_ColorBlack"	"You are Black. "
"SteamAddOn_ColorRed"	"Te vagy pirossal."
"[english]SteamAddOn_ColorRed"	"You are Red. "
"SteamAddOn_YourMove"	"Te jössz.\n"
"[english]SteamAddOn_YourMove"	"It is your Move.\n"
"SteamAddOn_OppMove"	"Az ellenfél jön. \n"
"[english]SteamAddOn_OppMove"	"It is your opponent's move. \n"
"SteamAddOn_PlayerRejoin"	"%s1 visszatért a játékba.\n"
"[english]SteamAddOn_PlayerRejoin"	"%s1 has rejoined game.\n"
"SteamAddOn_RejoinDenied_Title"	"%s1 - Visszatérés elutasítva"
"[english]SteamAddOn_RejoinDenied_Title"	"%s1 - Re-join Denied"
"SteamAddOn_RejoinDenied_Text"	"Az ellenfél elutasította a játszmába való visszatérést."
"[english]SteamAddOn_RejoinDenied_Text"	"Your opponent has declined to rejoin the game."
"SteamAddOn_Turn_GameOver"	"Lépés: %s1 %s2 győzött.\n"
"[english]SteamAddOn_Turn_GameOver"	"Turn: %s1 %s2 has won.\n"
"SteamAddOn_GameOver_Win"	"Legyőzted %s1-t %s2-ban."
"[english]SteamAddOn_GameOver_Win"	"You have beaten %s1 in %s2."
"SteamAddOn_GameOver_Loss"	"%s1 legyőzött %s2-ban."
"[english]SteamAddOn_GameOver_Loss"	"%s1 has beaten you in %s2."
"SteamAddOn_GameOver_Tie"	"A %s1 játszma döntetlennel végződött."
"[english]SteamAddOn_GameOver_Tie"	"%s1 game has ended in a tie."
"SteamAddOn_Resign_Title"	"%s1 - Az ellenfél feladta a játszmát"
"[english]SteamAddOn_Resign_Title"	"%s1 - Opponent Resigned From Game"
"SteamAddOn_Resign_Text"	"Ellenfeled feladta a játszmát."
"[english]SteamAddOn_Resign_Text"	"Your opponent has resigned from the game."
"SteamAddOn_GameOver_Title"	"%s1 - A játéknak vége"
"[english]SteamAddOn_GameOver_Title"	"%s1 - Game Over"
"SteamAddOn_WaitingForMoveHistory"	"Várakozás a lépésjegyzékre...\n"
"[english]SteamAddOn_WaitingForMoveHistory"	"Waiting for move history...\n"
"SteamAddOn_QuitGameConfirm_Title"	"Kilépés a játékból"
"[english]SteamAddOn_QuitGameConfirm_Title"	"Quit Game"
"SteamAddOn_QuitGameConfirm_Text"	"Biztos, hogy ki akarsz lépni a játékból?"
"[english]SteamAddOn_QuitGameConfirm_Text"	"Are you sure you want to quit this game?"
"SteamAddOn_ConfirmResign_Title"	"Feladás megerősítése"
"[english]SteamAddOn_ConfirmResign_Title"	"Confirm Resign"
"SteamAddOn_ConfirmResign_Text"	"Biztos, hogy fel akarod adni ezt a játszmát?"
"[english]SteamAddOn_ConfirmResign_Text"	"Are you sure you want to resign?"
"SteamAddOn_ResignFromGame_Title"	"Játszma feladása"
"[english]SteamAddOn_ResignFromGame_Title"	"Resign From Game"
"SteamAddOn_ResignFromGame_Text"	"Feladtad a játszmát."
"[english]SteamAddOn_ResignFromGame_Text"	"You have resigned from the game."
"SteamAddOn_Btn_CloseGameWindow"	"Játékablak bezárása"
"[english]SteamAddOn_Btn_CloseGameWindow"	"Close Game Window"
"SteamAddOn_Btn_KeepGameWindow"	"Játékablak megtartása"
"[english]SteamAddOn_Btn_KeepGameWindow"	"Keep Game Window"
"SteamAddOn_Btn_Pass"	"&Passz"
"[english]SteamAddOn_Btn_Pass"	"&Pass"
"SteamAddOn_Btn_Resign"	"Felad (&r)"
"[english]SteamAddOn_Btn_Resign"	"&Resign"
"SteamAddOn_Btn_ShowHistory"	"Lépésjegyzék (&h)"
"[english]SteamAddOn_Btn_ShowHistory"	"Show &History"
"SteamAddOn_Btn_Send"	"Küld (&s)"
"[english]SteamAddOn_Btn_Send"	"&Send"
"SteamAddOn_Opp_Offline"	"%s1 kapcsolata megszűnt.\n"
"[english]SteamAddOn_Opp_Offline"	"%s1 has gone offline.\n"
"SteamAddOn_Opp_Online"	"%s1 visszatért."
"[english]SteamAddOn_Opp_Online"	"%s1 has come back online."
"SteamAddOn_Opp_ExitGame"	"%s1 kilépett a játékból.\n"
"[english]SteamAddOn_Opp_ExitGame"	"%s1 has exited the game.\n"
"SteamAddOn_Waiting_Rejoin"	" Várakozás a játékos visszatérésére.\n"
"[english]SteamAddOn_Waiting_Rejoin"	" Waiting for player to re-join game.\n"
"SteamAddOn_Close"	"Bezár"
"[english]SteamAddOn_Close"	"Close"
"SteamAddOn_ReviewMoves"	"A lépések megtekintéséhez a táblán\nkattints rájuk alább."
"[english]SteamAddOn_ReviewMoves"	"To review moves on the board,\nclick on them below."
"SteamAddOn_BuddyInvite"	"%s1 meghívása"
"[english]SteamAddOn_BuddyInvite"	"Invite %s1"
"SteamAddOn_InvitationTitle"	"%s1 - Meghívás"
"[english]SteamAddOn_InvitationTitle"	"%s1 - Invitation"
"SteamAddOn_InvitationText"	"%s1 meghívott egy %s2 játszmára."
"[english]SteamAddOn_InvitationText"	"%s1 has invited you to %s2."
"SteamAddOn_InviteWaitTitle"	"%s1 - Várakozás a meghívás elfogadására"
"[english]SteamAddOn_InviteWaitTitle"	"%s1 - Waiting on Invite Response"
"SteamAddOn_InviteWaitText"	"Várjuk, mi lesz %s2 válasza a %s1 meghívásra"
"[english]SteamAddOn_InviteWaitText"	"Waiting on %s1 Invite Response from %s2"
"SteamAddOn_InviteRejectedTitle"	"%s1 - Meghívás elutasítva"
"[english]SteamAddOn_InviteRejectedTitle"	"%s1 - Invite Rejected"
"SteamAddOn_InviteRejectedText"	"%s1 nem fogadta el a meghívást."
"[english]SteamAddOn_InviteRejectedText"	"%s1 has rejected your invitation."
"SteamAddOn_OtherPlayerAbortTitle"	"Elmenekült"
"[english]SteamAddOn_OtherPlayerAbortTitle"	"Early Quit"
"SteamAddOn_OtherPlayerAbortText"	"%s1 kilépett a játékból."
"[english]SteamAddOn_OtherPlayerAbortText"	"%s1 has quit the game early."
"SteamAddOn_RejoinTitle"	"%s1 - Visszatért"
"[english]SteamAddOn_RejoinTitle"	"%s1 - Re-join"
"SteamAddOn_RejoinText"	"Bejelentkeztél a Barátok-hálózatba.\nVisszatérsz a %s1 játszmába %s2 felhasználóval?"
"[english]SteamAddOn_RejoinText"	"You have signed on to the Friends Network.\nRe-join %s1 with %s2?"
"SteamAddOn_Btn_Accept"	"Elfog&ad"
"[english]SteamAddOn_Btn_Accept"	"&Accept"
"SteamAddOn_Btn_Reject"	"El&utasít"
"[english]SteamAddOn_Btn_Reject"	"&Reject"
"SteamAddOn_Btn_Yes"	"&Igen"
"[english]SteamAddOn_Btn_Yes"	"&Yes"
"SteamAddOn_Btn_No"	"&Nem"
"[english]SteamAddOn_Btn_No"	"&No"
"SteamAddOn_WaitingAbortTitle"	"%s1 - Váratlanul véget ért"
"[english]SteamAddOn_WaitingAbortTitle"	"%s1 - Ended Early"
"SteamAddOn_WaitingAbortText"	"Adatra várva a %s1 játszma véget ért."
