"lang"
{
"Language"	"german"
"Tokens"
{
"testcommands"	"<clr:255,0,0>This is red<I> and italics<B> and<cr>bold<B><I><clr:255,255,255> white again."
"[english]testcommands"	"<clr:255,0,0>This is red<I> and italics<B> and <cr>bold<B><I><clr:255,255,255> white again."
"barn.anotherdropship"	"Noch ein Landungsschiff!"
"[english]barn.anotherdropship"	"Another dropship! "
"barn.bunyip"	" "
"[english]barn.bunyip"	" "
"barn.chatter"	"Wir empfangen Funkverkehr. Sie suchen das Auto."
"[english]barn.chatter"	"We're picking up radio chatter. They're looking for your car. "
"barn.comeonin"	"Dann komm rein."
"[english]barn.comeonin"	"Come on in. "
"barn.crapships"	"Oh, Mist. Da kommen Landungsschiffe!"
"[english]barn.crapships"	"Oh crap. Here come the dropships! "
"barn.ditchcar"	"Der Wagen muss verschwinden, Freeman. Sie suchen ihn jetzt schon."
"[english]barn.ditchcar"	"You're gonna have to ditch the car, Freeman. They're looking for it now. "
"barn.drivecarinhere"	"Bring' den Wagen rein!"
"[english]barn.drivecarinhere"	"Drive the car in here. "
"barn.drop_barn"	"Lander! Bei der Scheune!"
"[english]barn.drop_barn"	"Dropship! By the barn! "
"barn.drop_field"	"Lander! Über dem Feld!"
"[english]barn.drop_field"	"Dropship! Over the field! "
"barn.drop_lite"	"Gesellschaft! Lander am Leuchtturm!"
"[english]barn.drop_lite"	"Incoming! Dropship at the lighthouse! "
"barn.drop_road"	"Lander! Kommen über die Straße!"
"[english]barn.drop_road"	"Dropship! Coming in over the road! "
"barn.exit_cliffpath"	"Hier lang, Dr. Freeman. Geh'n wir über die Klippen, bevor noch ein Hubschrauber kommt."
"[english]barn.exit_cliffpath"	"This way, Dr. Freeman. We'll take the cliff path before another gunship finds us. "
"barn.exit_comewith"	"Na gut, Dr. Freeman, kommen Sie. Bevor noch einer kommt."
"[english]barn.exit_comewith"	"All right, Dr. Freeman, come with me. Before another one comes. "
"barn.exit_killship"	"Ich bring' dich über die Klippen raus, sobald der Schrauber beseitigt ist. Solange die Kiste uns plagt, können wir es nicht wagen."
"[english]barn.exit_killship"	"I'll take you out on the cliffside path as soon as you kill that gunship. There's no way we can make it with that thing harassing us. "
"barn.exit_killshipnag"	"Kill den Schrauber, dann geh'n wir."
"[english]barn.exit_killshipnag"	"Kill the gunship, then we'll go. "
"barn.exit_watchstep"	"Dort entlang, ja? Und vorsichtig."
"[english]barn.exit_watchstep"	"Right along there.  And watch your step. "
"barn.getcarinbarn"	"Schnell. Das Auto in die Scheune."
"[english]barn.getcarinbarn"	"Hurry, get your car in the barn! "
"barn.getcaringarage"	"In die Garage mit dem Wagen."
"[english]barn.getcaringarage"	"Get your car in the garage. "
"barn.getcarinhere"	"Den Wagen hier rein!"
"[english]barn.getcarinhere"	"Get your car in here! "
"barn.getcarinthere"	"Den Wagen dort rein!"
"[english]barn.getcarinthere"	"Get your car in there! "
"barn.getoffroad01"	"Weg von der Straße."
"[english]barn.getoffroad01"	"Get off the road! "
"barn.getoffroad01a"	"Weg von der Straße!"
"[english]barn.getoffroad01a"	"Get off the road! "
"barn.getoffroad02"	"Auto von der Straße."
"[english]barn.getoffroad02"	"Get your car off the road! "
"barn.gettauoff"	" "
"[english]barn.gettauoff"	" "
"barn.heretheycome"	"Da kommen sie!"
"[english]barn.heretheycome"	"Here they come! "
"barn.incomingdropship"	"Ein Landungsschiff!"
"[english]barn.incomingdropship"	"Incoming dropship! "
"barn.lighthouse_morale"	"Okay, Doc - es geht nur noch zu Fuß weiter. Es gibt 'nen Geheimweg die Steilküste lang, doch niemand kann weg, bis der Angriff abgewehrt wurde. Wenn du uns bei diesem Kampf hilfst, dürfte das unsere Moral stärken."
"[english]barn.lighthouse_morale"	"Okay, Doc, you'll have to go on foot from here. There's a secret path along the cliffside, but no one's going anywhere until we fight off this attack. Having you here to fight alongside us will make a big difference for morale. "
"barn.lite_gunship01"	"Ein Hubschrauber!"
"[english]barn.lite_gunship01"	"It's a gunship! "
"barn.lite_gunship02"	"Schrauber!"
"[english]barn.lite_gunship02"	"Gunship! "
"barn.lite_rockets01"	"Geh zum Leuchtturm, Freeman. Dort gibt's Raketen!"
"[english]barn.lite_rockets01"	"Head for the lighthouse, Freeman, there's rockets in there! "
"barn.lite_rockets02"	"Uns're Raketen sind im Leuchtturm. Hol sie dir!"
"[english]barn.lite_rockets02"	"We stowed our rockets in the lighthouse. Help yourself. "
"barn.lite_rockets03"	"Freeman! Wenn du 'nen Werfer hast - im Leuchtturm gibt's Raketen!"
"[english]barn.lite_rockets03"	"Freeman, if you've got a launcher, the lighthouse is full of rockets. "
"barn.lite_rockets04"	"Raketen für den Werfer sind oben im Leuchtturm, Freeman."
"[english]barn.lite_rockets04"	"You'll find the launcher for your rockets up in the lighthouse, Freeman. "
"barn.nowwhat"	"Oh Mann! Was jetzt?"
"[english]barn.nowwhat"	"Oh man, now what? "
"barn.parkit"	"Park ihn dort!"
"[english]barn.parkit"	"Park it there! "
"barn.stashinbarn"	"Fahr den Wagen die Scheune."
"[english]barn.stashinbarn"	"Stash your car in the barn! "
"barn.vmech_accept"	"Dr. Freeman nehme diese Waffe, oder er nimmt Schaden auf dem Weg!"
"[english]barn.vmech_accept"	"The Freeman will accept this weapon, or suffer greatly on the road ahead! "
"barn.vmech_proceed"	"Dr. Freeman darf nicht ohne Tau-Partikelbeschleuniger gehen!"
"[english]barn.vmech_proceed"	"The Freeman must not proceed without the tau particle cannon! "
"barn.vmech_remove"	" "
"[english]barn.vmech_remove"	" "
"barn.vmech_wisely"	"Dieser Tau-Beschleuniger tötete viele von uns. Nutz er ihn weise."
"[english]barn.vmech_wisely"	"This tau cannon once killed many of our kind. Use it wisely. "
"barn.youmadeit"	"Du kamst durch!?"
"[english]barn.youmadeit"	"You made it! "
"breencast.br_collaboration01"	"<clr:188,188,188><I>Mir ist mitgeteilt worden, dass man mich in letzter Zeit einen Kollaborateur nennt. Als ob das eine Schande wäre!"
"[english]breencast.br_collaboration01"	"<clr:188,188,188><I>It has come to my attention that some have lately called me a collaborator, as if such a term were shameful. "
"breencast.br_collaboration01_pl"	"<clr:188,188,188><I>Mir ist mitgeteilt worden, dass man mich in letzter Zeit einen Kollaborateur nennt. Als ob das eine Schande wäre!"
"[english]breencast.br_collaboration01_pl"	"<clr:188,188,188><I>It has come to my attention that some have lately called me a collaborator, as if such a term were shameful. "
"breencast.br_collaboration02"	"<clr:188,188,188><I>Welch' größere Herausforderung als Zusammenarbeit gibt es denn?"
"[english]breencast.br_collaboration02"	"<clr:188,188,188><I>I ask you, what greater endeavor exists than that of collaboration? "
"breencast.br_collaboration02_pl"	"<clr:188,188,188><I>Welch' größere Herausforderung als Zusammenarbeit gibt es denn?"
"[english]breencast.br_collaboration02_pl"	"<clr:188,188,188><I>I ask you, what greater endeavor exists than that of collaboration? "
"breencast.br_collaboration03"	"<clr:188,188,188><I>Jede Verweigerung der Kollaboration wäre für uns die Blockade eigener Entwicklung. Selbstmord in Raten, so zu sagen."
"[english]breencast.br_collaboration03"	"<clr:188,188,188><I>In our current unparalleled enterprise, refusal to collaborate is simply a refusal to grow--an insistence on suicide, if you will. "
"breencast.br_collaboration03_pl"	"<clr:188,188,188><I>Jede Verweigerung der Kollaboration wäre für uns die Blockade eigener Entwicklung. Selbstmord in Raten, so zu sagen."
"[english]breencast.br_collaboration03_pl"	"<clr:188,188,188><I>In our current unparalleled enterprise, refusal to collaborate is simply a refusal to grow--an insistence on suicide, if you will. "
"breencast.br_collaboration04"	"<clr:188,188,188><I>Blieb der Archäopterix etwa am Boden sitzen? Mitnichten."
"[english]breencast.br_collaboration04"	"<clr:188,188,188><I>Did the lungfish refuse to breathe air? It did not. "
"breencast.br_collaboration04_pl"	"<clr:188,188,188><I>Blieb der Archäopterix etwa am Boden sitzen? Mitnichten."
"[english]breencast.br_collaboration04_pl"	"<clr:188,188,188><I>Did the lungfish refuse to breathe air? It did not. "
"breencast.br_collaboration05"	"<clr:188,188,188><I>Er schwang sich in die Lüfte auf, während seine flugunfähigen Verwandten zurückblieben und ängstlich und letztendlich vergebens nach ihren Feinden Ausschau hielten."
"[english]breencast.br_collaboration05"	"<clr:188,188,188><I>It crept forth boldly while its brethren remained in the blackest ocean abyss, with lidless eyes forever staring at the dark, ignorant and doomed despite their eternal vigilance. "
"breencast.br_collaboration05_pl"	"<clr:188,188,188><I>Er schwang sich in die Lüfte auf, während seine flugunfähigen Verwandten zurückblieben und ängstlich und letztendlich vergebens nach ihren Feinden Ausschau hielten."
