"lang" 
{ 
"Language" "greek" 
"Tokens" 
{ 
"GameUI_ReverseMouse" 		"Αντιστροφή ποντικιού"
"GameUI_ReverseMouseLabel"	"Αντιστροφή ποντικιού κάθετα"
"GameUI_MouseLook" 		"Παρατήρηση με ποντίκι"
"GameUI_MouseLookLabel"		"Χρήση ποντικού για παρατήρηση"
"GameUI_MouseFilter" 		"Φίλτρο ποντικιού"
"GameUI_MouseFilterLabel"	"Ομαλοποίηση κίνησης ποντικιού σε 2 καρέ."
"GameUI_MouseRaw"			"Απευθείας είσοδος"
"GameUI_MouseRaw_Hint"			"Η απευθείας είσοδος διαβάζει την κίνηση του ποντικιού απευθείας από τη συσκευή, προσπερνώντας τις επιλογές ποντικιού στον πίνακα ελέγχου και παρέχοντας πιο αξιόπιστη κίνηση ποντικιού."
"GameUI_MouseSensitivity"	"Ευαισθησία ποντικιού"
"GameUI_MouseAcceleration"	"Επιτάχυνση ποντικιού"
"GameUI_MouseAcceleration_Hint"	"Ενεργοποίηση επιτάχυνσης ποντικιού (προτείνεται με απευθείας είσοδο)"
"GameUI_MouseAccelerationAmount_Hint"	"Τιμή επιτάχυνσης. Η τιμή 1,0 είναι χωρίς επιτάχυνση. Υψηλότερες τιμές παρέχουν επιπλέον επιτάχυνση."
"GameUI_Joystick" 		"ΧΕΙΡΙΣΤΗΡΙΟ"
"GameUI_JoystickLabel"		"Ενεργοποίηση χειριστηρίου"
"GameUI_ReverseJoystick"	"Αντιστροφή χειριστηρίου κάθετα"
"GameUI_JoystickLook"		"Παρατήρηση με χειριστήριο"
"GameUI_JoystickLookLabel"	"Χρήση χειριστηρίου για παρατήρηση"
"GameUI_JoystickLookType"	"Τύπος κοιτάγματος"
"GameUI_JoystickNormal"		"Κανονικό"
"GameUI_JoystickInverted"	"Ανεστραμμένο"
"GameUI_JoystickMoveLookSticks"	"Μοχλοί κίνησης/κοιτάγματος"				[$WIN32]
"GameUI_JoystickMoveLookSticks"	"Μοχλοί"					[$X360]
"GameUI_JoystickSouthpaw"	"Εναλλαγή μοχλών σε χειριστήρια δύο μοχλών"		[$WIN32]
"GameUI_JoystickSouthpaw"	"Αριστερόχειρας"					[$X360]
"GameUI_JoystickLookSpeedPitch"	"Κάθετη ευαισθησία"
"GameUI_JoystickLookSpeedYaw"	"Οριζόντια ευαισθησία"
"GameUI_JoystickDuckZoomMode"	"Σκύψιμο/Εστίαση"
"GameUI_JoystickDuckMode"	"Σκύψιμο"
"GameUI_JoystickSprintMode"	"Συνεχές τρέξιμο"
"GameUI_AutoAim" 		"Αυτόματη στόχευση"
"GameUI_AutoaimLabel"		"Αυτόματη στόχευση στους εχθρούς."
"GameUI_ContentLock"		"Κλείδωμα περιεχομένου"
"GameUI_ContentLockLabel"	"Πατήστε αυτό το κουμπί και εισαγάγετε ένα συνθηματικό για να\n απενεργοποιήσετε τα γραφικά που είναι ακατάλληλα για νεαρούς παίκτες."
"GameUI_ContentStatusDisabled"	"Εισαγάγετε ένα συνθηματικό για να ενεργοποιήσετε το κλείδωμα του περιεχομένου."
"GameUI_ContentStatusEnabled"	"Εισαγάγετε ένα συνθηματικό για να απενεργοποιήσετε το κλείδωμα του περιεχομένου."
"GameUI_Enable"			"Ενεργοποίηση"
"GameUI_Disable"		"Απενεργοποίηση"
"GameUI_PasswordPrompt"		"Εισαγάγετε ένα συνθηματικό"
"GameUI_PasswordDisablePrompt"	"Εισαγάγετε το συνθηματικό"
"GameUI_PasswordReentryPrompt"	"Εισαγάγετε ξανά ένα συνθηματικό"
"GameUI_Cancel"			"Ακύρωση"
"GameUI_CancelBold"		"ΑΚΥΡΩΣΗ"
"GameUI_Back"			"Πίσω"
"GameUI_Apply"			"Εφαρμογή"
"GameUI_DemoPlayer"		"Demo Player"
"GameUI_LoadDemo"		"Επιλογή αρχείου demo"
"GameUI_Load"			"Φόρτωση"
"GameUI_DemoFile"		"Αρχείο demo"
"GameUI_Map"			"Χάρτης"
"GameUI_Close"			"Κλείσιμο"
"GameUI_NeverShowButton"	"Να μην εμφανιστεί ξανά"
"GameUI_BonusMapsHelp"		"Επιλέξτε έναν χάρτη ή φάκελο παρακάτω και μετά πατήστε «Φόρτωση»"
"GameUI_BonusMaps"		"ΕΠΙΠΛΕΟΝ ΧΑΡΤΕΣ"
"GameUI_BonusMapsCompletion"	"Ολοκληρωμένοι"
"GameUI_BonusMapsUnlocked"	"+Επιπλέον"
"GameUI_BonusMapsStandard"	"Κανονικοί"
"GameUI_BonusMapsAdvanced"	"Προχωρημένοι"
"GameUI_BonusMapsBest"		"Επίδοση: %s1"
"GameUI_BonusMapsGoal"		"Στόχος: %s1"
"GameUI_LoadGameHelp"		"Επιλέξτε ένα αποθηκευμένο παιχνίδι από την παρακάτω λίστα και πατήστε «Φόρτωση»."
"GameUI_LoadGame"		"ΦΟΡΤΩΣΗ"
"GameUI_MultiplayerAdvanced"	"ΠΡΟΧΩΡΗΜΕΝΕΣ ΡΥΘΜΙΣΕΙΣ"
"GameUI_MultiplayerCustomize"	"Προσαρμογή διαδικτυακού"
"GameUI_Multiplayer" 	"ΠΟΛΛΩΝ ΠΑΙΚΤΩΝ"
