"lang"
{
"Language"	"korean"
"Tokens"
{
"HTTPError_ZeroLengthFile"	"크기가 0인 파일"
"[english]HTTPError_ZeroLengthFile"	"Zero length file"
"HTTPError_ConnectionClosed"	"연결 종료"
"[english]HTTPError_ConnectionClosed"	"Connection closed"
"HTTPError_InvalidURL"	"유효하지 않은 URL"
"[english]HTTPError_InvalidURL"	"Invalid URL"
"HTTPError_InvalidProtocol"	"유효하지 않은 프로토콜"
"[english]HTTPError_InvalidProtocol"	"Invalid protocol"
"HTTPError_CantBindSocket"	"소켓에 연결할 수 없습니다"
"[english]HTTPError_CantBindSocket"	"Couldn't bind socket"
"HTTPError_CantConnect"	"연결할 수 없습니다"
"[english]HTTPError_CantConnect"	"Couldn't connect"
"HTTPError_NoHeaders"	"헤더 없음"
"[english]HTTPError_NoHeaders"	"No headers"
"HTTPError_NonExistent"	"존재하지 않는 파일"
"[english]HTTPError_NonExistent"	"Non-existent file"
"HTTPError_Unknown"	"알 수 없는 오류"
"[english]HTTPError_Unknown"	"Unknown error"
"Replay_SaveReplay"	"현재 또는 최근의 리플레이 저장하기"
"[english]Replay_SaveReplay"	"Save a replay of your current or last life"
"Replay_freezecam_replay"	"[%s1] 리플레이를 만드세요!"
"[english]Replay_freezecam_replay"	"[%s1] Create a replay!"
"Replay_Saving"	"저장 중"
"[english]Replay_Saving"	"Saving"
"Replay_Yes"	"예"
"[english]Replay_Yes"	"Yes"
"Replay_No"	"아니요"
"[english]Replay_No"	"No"
"Replay_Download"	"다운로드"
"[english]Replay_Download"	"Download"
"Replay_Delete"	"삭제"
"[english]Replay_Delete"	"Delete"
"Replay_Save"	"저장"
"[english]Replay_Save"	"Save"
"Replay_NameYourReplay"	"리플레이의 이름을 작성하십시오"
"[english]Replay_NameYourReplay"	"NAME YOUR REPLAY"
"Replay_Untitled"	"제목 없음 %s1"
"[english]Replay_Untitled"	"Untitled %s1"
"Replay_EnterYourName"	"여기에 이름을 작성하시면 이후에 어떤 리플레이인지 알 수 있습니다."
"[english]Replay_EnterYourName"	"Enter a name here to help you identify this Replay later."
"Replay_StartDownloadAuto"	"서버에서 리플레이 파일이 이용 가능해질 때 자동으로 다운로드합니다."
"[english]Replay_StartDownloadAuto"	"Start download automatically when Replay file is available on server."
"Replay_NeverShowAgain"	"다시 보지 않기!"
"[english]Replay_NeverShowAgain"	"Never show this again!"
"Replay_NameYourTake"	"찍은 사진 제목"
"[english]Replay_NameYourTake"	"NAME YOUR TAKE"
"Replay_NameFinePrint"	"이후에 이 촬영분을 찾을 수 있도록 제목을 입력하세요."
"[english]Replay_NameFinePrint"	"Enter a name here to help you identify this take later."
"Replay_Discard"	"X 취소"
"[english]Replay_Discard"	"X DISCARD"
"Replay_SavePerformance"	"저장"
"[english]Replay_SavePerformance"	"SAVE"
"Replay_GotoTickTitle"	"지정한 시점으로 이동"
"[english]Replay_GotoTickTitle"	"Jump to Time"
"Replay_GotoTickRewindText"	"이전 시점 %time%으로 이동하겠습니까? 리플레이를 되감는데 시간이 걸립니다."
"[english]Replay_GotoTickRewindText"	"Jump back to %time%? It will take a moment to rewind the replay."
"Replay_GotoTickFastForwardText"	"이후 시점 %time%으로 이동하시겠습니까?"
"[english]Replay_GotoTickFastForwardText"	"Jump forward to %time%?"
"Replay_DiscardTitle"	"변경을 취소합니까?"
"[english]Replay_DiscardTitle"	"Discard changes?"
"Replay_DiscardChanges"	"저장하지 않은 변경 사항이 있습니다. 정말로 취소합니까?\n\n알림: 좌측 상단의 메뉴에 있는 \"저장 혹은 다른 이름으로 저장\"으로 현재 변경을 저장하실 수 있습니다."
"[english]Replay_DiscardChanges"	"You have unsaved changes.  Discard?\n\nNOTE: You can save by clicking the menu button in the top left and selecting SAVE or SAVE AS."
"Replay_ExitEditorTitle"	"완료했습니까?"
"[english]Replay_ExitEditorTitle"	"DONE?"
"Replay_BackToReplays"	"이것을 통해 리플레이로 되돌아 갈 수 있습니다."
"[english]Replay_BackToReplays"	"This will take you back to your replays."
"ReplayBrowserDlg_Downloaded"	"다운로드됨"
"[english]ReplayBrowserDlg_Downloaded"	"Downloaded"
"ReplayBrowserDlg_Rendered"	"렌더링됨"
"[english]ReplayBrowserDlg_Rendered"	"Rendered"
"ReplayBrowserDlg_Deletion"	"남은 시간"
"[english]ReplayBrowserDlg_Deletion"	"Time Remaining"
"ReplayBrowserDlg_Filename"	"파일 이름"
"[english]ReplayBrowserDlg_Filename"	"Filename"
"ReplayBrowserDlg_Map"	"맵"
"[english]ReplayBrowserDlg_Map"	"Map"
"ReplayBrowserDlg_Server"	"서버"
"[english]ReplayBrowserDlg_Server"	"Server"
"ReplayBrowserDlg_RecordTime"	"기록된 시간"
"[english]ReplayBrowserDlg_RecordTime"	"Recorded"
"ReplayBrowserDlg_Length"	"길이"
"[english]ReplayBrowserDlg_Length"	"Length"
"ReplayBrowserDlg_Size"	"크기 (MB)"
"[english]ReplayBrowserDlg_Size"	"Size (MB)"
"ReplayBrowserDlg_NoDemos"	"표시할 데모가 없습니다."
"[english]ReplayBrowserDlg_NoDemos"	"No demos to display."
"ReplayBrowserDlg_ShowAll"	"모두 보기"
"[english]ReplayBrowserDlg_ShowAll"	"Show All"
"ReplayBrowserDlg_XMoreReplays"	"%s1 개 더 있습니다!"
"[english]ReplayBrowserDlg_XMoreReplays"	"%s1 more!"
"Replay_MyReplays"	"리플레이"
"[english]Replay_MyReplays"	"REPLAYS"
"Replay_Replay"	"리플레이"
"[english]Replay_Replay"	"REPLAYS"
"Replay_ReplayMsgTitle"	"리플레이"
"[english]Replay_ReplayMsgTitle"	"REPLAY"
"Replay_Connecting"	"연결 중"
"[english]Replay_Connecting"	"CONNECTING"
"Replay_RecordingInProgress"	"녹화 진행 중"
"[english]Replay_RecordingInProgress"	"RECORDING IN PROGRESS"
"Replay_Error"	"오류"
"[english]Replay_Error"	"ERROR"
"Replay_CantExport"	"추출 불가"
"[english]Replay_CantExport"	"CAN'T EXPORT"
"Replay_CantUpload"	"업로드 불가"
"[english]Replay_CantUpload"	"CAN'T UPLOAD"
"Replay_Downloading"	"다운로드 중"
"[english]Replay_Downloading"	"DOWNLOADING"
"Replay_Waiting"	"대기 중"
"[english]Replay_Waiting"	"WAITING"
"Replay_UnrenderedReplays"	"일시저장 리플레이 (%s1) :"
"[english]Replay_UnrenderedReplays"	"TEMPORARY REPLAYS (%s1) :"
"Replay_SavedMovies"	"저장된 동영상 (%s1) :"
"[english]Replay_SavedMovies"	"SAVED MOVIES (%s1) :"
"Replay_ConversionWarning"	"이 동영상은 일시적이므로 저장을 하지 않으면 다음 게임 업데이트 때 없어질 수 있습니다."
"[english]Replay_ConversionWarning"	"These are temporary, and unless saved, may be lost with the next game update."
"Replay_RenderAll"	"모두 저장..."
"[english]Replay_RenderAll"	"SAVE ALL..."
"Replay_StartRecord"	"서버가 리플레이를 저장할 준비가 되었습니다."
"[english]Replay_StartRecord"	"The server is ready to capture replays."
"Replay_EndRecord"	"서버가 더 이상 리플레이를 저장하지 않습니다. 이미 저장된 리플레이는 다운로드 가능합니다."
"[english]Replay_EndRecord"	"The server is no longer capturing replays.  Any replays saved are now ready for download."
"Replay_ReplaysAvailable"	"이전 라운드의 리플레이들을 이제 다운로드할 수 있습니다."
"[english]Replay_ReplaysAvailable"	"Replays from the previous round are now ready for download."
"Replay_ReplaySavedAlive"	"이번 목숨을 잃으면 리플레이 다운로드가 시작됩니다."
"[english]Replay_ReplaySavedAlive"	"Your Replay will begin downloading after this life."
"Replay_ReplaySavedDead"	"리플레이가 저장되었고, 곧 다운로드가 시작됩니다."
"[english]Replay_ReplaySavedDead"	"Your Replay has been saved and will begin downloading momentarily."
"Replay_AlreadySaved"	"리플레이가 이미 제작되었습니다! 메인 메뉴의 리플레이를 클릭하여 감상하십시오."
"[english]Replay_AlreadySaved"	"Replay already created!  Click REPLAYS in the main menu to watch it."
"Replay_NoListenServer"	"리슨 서버에서는 리플레이를 지원하지 않습니다."
"[english]Replay_NoListenServer"	"Replay is not supported on listen servers."
"Replay_NotEnabled"	"현재 이 서버에서 리플레이 관련 기능을 쓸 수 없습니다."
"[english]Replay_NotEnabled"	"Replay is currently disabled on this server."
"Replay_NotRecording"	"이 서버는 현재 리플레이를 저장하지 않습니다."
"[english]Replay_NotRecording"	"The server is not capturing replays right now."
"Replay_ConnectRecording"	"이 서버에서 리플레이를 저장할 수 있습니다.\n현재 목숨의 리플레이를 저장하려면 언제든지 [ %s1 ]키를 누르십시오.\n\n알림: 관전중에 완료된다면, 이전에 쓰였던 목숨이 사용되어집니다."
