"lang"
{
"Language"	"greek"
"Tokens"
{
"YouTube_LoggingIn"	"Σύνδεση στο YouTube™"
"[english]YouTube_LoggingIn"	"Logging into YouTube™"
"YouTube_Uploading"	"Μεταφόρτωση ταινίας στο YouTube™"
"[english]YouTube_Uploading"	"Uploading Movie to YouTube™"
"YouTube_UploadProgress"	"%s1% - [ %s2 / %s3 kB ]"
"[english]YouTube_UploadProgress"	"%s1% - [ %s2 / %s3 kB ]"
"YouTube_UploadFinishing1"	"Ολοκλήρωση μεταφόρτωσης"
"[english]YouTube_UploadFinishing1"	"Finishing Upload"
"YouTube_UploadFinishing2"	"Ολοκλήρωση μεταφόρτωσης."
"[english]YouTube_UploadFinishing2"	"Finishing Upload."
"YouTube_UploadFinishing3"	"Ολοκλήρωση μεταφόρτωσης.."
"[english]YouTube_UploadFinishing3"	"Finishing Upload.."
"YouTube_UploadFinishing4"	"Ολοκλήρωση μεταφόρτωσης..."
"[english]YouTube_UploadFinishing4"	"Finishing Upload..."
"YouTube_FileAlreadyUploaded"	"Αυτή η ταινία έχει ήδη μεταφορτωθεί. Θέλετε σίγουρα να την μεταφορτώσετε πάλι;"
"[english]YouTube_FileAlreadyUploaded"	"This movie has already been uploaded. Are you sure you want to upload it again?"
"YouTube_LoginResults_Title"	"Η σύνδεση απέτυχε"
"[english]YouTube_LoginResults_Title"	"Login Failed"
"YouTube_LoginResults_CouldNotConnect"	"Παρακαλούμε ελέγξτε τις ρυθμίσεις της σύνδεσής σας στο διαδίκτυο ή ρυθμίστε την παράμετρο «youtube_http_proxy» εάν χρησιμοποιείτε έναν διακομιστή μεσολάβησης HTTP και προσπαθήστε ξανά."
"[english]YouTube_LoginResults_CouldNotConnect"	"Please check your your internet connection settings or set the \"youtube_http_proxy\" convar if you are behind an http proxy and try again."
"YouTube_LoginResults_Forbidden"	"Επαληθεύστε ότι το όνομα χρήστη και ο κωδικός σας είναι σωστά και προσπαθήστε ξανά. Σημειώστε ότι μπορεί να χρειαστεί να απενεργοποιήσετε την επαλήθευση 2 βημάτων."
"[english]YouTube_LoginResults_Forbidden"	"Please verify that your username and password are correct and try again. Note that you may need to disable 2-step verification."
"YouTube_LoginResults_Failure"	"Ελέγξτε τις ρυθμίσεις της σύνδεσής σας στο διαδίκτυο και προσπαθήστε ξανά."
"[english]YouTube_LoginResults_Failure"	"Please check your internet connection settings and try again."
"YouTube_LoginResults_Cancel"	"Η σύνδεση ακυρώθηκε. Εάν φαίνεται να υπάρχει πρόβλημα, παρακαλούμε ελέγξτε τις ρυθμίσεις της σύνδεσής σας στο διαδίκτυο ή ρυθμίστε την παράμετρο «youtube_http_proxy» εάν χρησιμοποιείτε έναν διακομιστή μεσολάβησης HTTP και προσπαθήστε ξανά."
"[english]YouTube_LoginResults_Cancel"	"Login cancelled. If there appears to be a problem, please check your internet connection settings or set the \"youtube_http_proxy\" convar if you are behind an http proxy and try again."
"YouTube_LoginDlg_Title"	"Σύνδεση στο YouTube™"
"[english]YouTube_LoginDlg_Title"	"Log into YouTube™"
"YouTube_LoginDlg_UserName"	"Όνομα χρήστη"
"[english]YouTube_LoginDlg_UserName"	"Username"
"YouTube_LoginDlg_Password"	"Κωδικός πρόσβασης"
"[english]YouTube_LoginDlg_Password"	"Password"
"YouTube_LoginDlg_Register"	"Εγγραφή"
"[english]YouTube_LoginDlg_Register"	"Register"
"YouTube_LoginDlg_Login"	"Σύνδεση"
"[english]YouTube_LoginDlg_Login"	"Login"
"YouTube_Upload_Title"	"Μεταφόρτωση YouTube™"
"[english]YouTube_Upload_Title"	"YouTube™ Upload"
"YouTube_Upload_MissingFile"	"Αδυναμία μεταφόρτωσης στο YouTube™, επειδή το αρχείο ταινίας δεν μπορούσε να βρεθεί."
"[english]YouTube_Upload_MissingFile"	"Unable to upload to YouTube™, because the movie file could not be found."
"YouTube_Upload_Success"	"Η ταινία μεταφορτώθηκε στο YouTube™ επιτυχώς!"
"[english]YouTube_Upload_Success"	"Movie uploaded to YouTube™ successfully!"
"YouTube_Upload_Failure"	"Παρουσιάστηκε ένα πρόβλημα κατά τη μεταφόρτωση της ταινίας. Ελέγξτε τις ρυθμίσεις της σύνδεσης σας στο διαδίκτυο και προσπαθήστε ξανά. Επίσης, σιγουρευτείτε ότι ο λογαριασμός YouTube™ σας είναι συνδεδεμένος με ένα λογαριασμό Google και δημιουργήσατε ένα κανάλι μέσω http://youtube.com/create_channel."
"[english]YouTube_Upload_Failure"	"There was a problem uploading the movie. Please check your internet connection settings and try again. Also, make sure your YouTube™ account is linked to a Google Account and that you have created a channel via http://youtube.com/create_channel."
"YouTube_Upload_InvalidChars_Title"	"Οι χαρακτήρες «<», «>» ή «&» δεν επιτρέπονται στον τίτλο."
"[english]YouTube_Upload_InvalidChars_Title"	"The characters '<', '>', or '&' are not allowed in the title."
"YouTube_Upload_InvalidChars_Desc"	"Οι χαρακτήρες «<», «>» ή «&» δεν επιτρέπονται στην περιγραφή."
"[english]YouTube_Upload_InvalidChars_Desc"	"The characters '<', '>', or '&' are not allowed in the description."
"YouTube_Upload_MovieIsRaw"	"Δεν υπάρχει ταινία συσχετισμένη με αυτή την αποθηκευμένη επανάληψη επειδή δημιουργήθηκε χρησιμοποιώντας την επιλογή \"Εξαγωγή ασυμπίεστων TGA/WAV\"."
"[english]YouTube_Upload_MovieIsRaw"	"There is no movie file associated with this saved replay because it was created using the \"Export raw TGA's/WAV\" option."
"YouTube_UploadDlg_Title"	"Μεταφόρτωση YouTube™"
"[english]YouTube_UploadDlg_Title"	"YouTube™ Upload"
"YouTube_UploadDlg_MovieTitle"	"Τίτλος"
"[english]YouTube_UploadDlg_MovieTitle"	"Title"
"YouTube_UploadDlg_MovieDesc"	"Περιγραφή"
"[english]YouTube_UploadDlg_MovieDesc"	"Description"
"YouTube_UploadDlg_Disclaimer"	"Επιλέγοντας «Μεταφόρτωση», θα μεταφορτώσετε στο κανάλι YouTube™ σας. Πατώντας, επιβεβαιώνετε ότι η ταινία σας συμμορφώνεται με τους όρους εξυπηρέτησης του YouTube™."
"[english]YouTube_UploadDlg_Disclaimer"	"By clicking 'Upload,' you will upload to your own YouTube™ channel.  You hereby confirm that your movie complies with the YouTube™ Terms of Service."
"YouTube_UploadDlg_Terms"	"Όροι χρήσης YouTube™."
"[english]YouTube_UploadDlg_Terms"	"YouTube™ T.O.S."
"YouTube_UploadDlg_Upload"	"Μεταφόρτωση"
"[english]YouTube_UploadDlg_Upload"	"Upload"
"YouTube_UploadDlg_Unlisted"	"Μη καταχωρημένο (οι χρήστες χρειάζονται το URL για να δούνε το βίντεο)"
"[english]YouTube_UploadDlg_Unlisted"	"Unlisted (users will need the URL to view the video)"
"YouTube_Stats"	"%s2 προβολή(ες)\n%s3 μου αρέσει\n%s1 αγαπημένα"
"[english]YouTube_Stats"	"%s2 view(s)\n%s3 like(s)\n%s1 favorited"
"YouTube_PrivateVideo"	"Το βίντεο του YouTube™ είναι ρυθμισμένο ως ιδιωτικό."
"[english]YouTube_PrivateVideo"	"YouTube™ video is set as private."
"YouTube_NoStats"	"Μ/Δ"
"[english]YouTube_NoStats"	"N/A"
"YouTube_CouldNotRetrieveStats"	"Δε βρέθηκαν"
"[english]YouTube_CouldNotRetrieveStats"	"Not Found"
"YouTube_EmailSubject"	"Παρακολουθήστε το φοβερό βίντεο Team Fortress 2 μου!"
"[english]YouTube_EmailSubject"	"Watch my Awesome Team Fortress 2 Video!"
"YouTube_UploadDlg_SaxxyAwardsSubmission"	"Υποβολή για συμμετοχή στα Saxxy Awards 2012"
"[english]YouTube_UploadDlg_SaxxyAwardsSubmission"	"Submit for consideration in the 2012 Saxxy Awards"
}
}
