"lang"
{
"Language"	"turkish"
"Tokens"
{
"YouTube_LoggingIn"	"YouTube™'a Giriş Yapılıyor"
"[english]YouTube_LoggingIn"	"Logging into YouTube™"
"YouTube_Uploading"	"Film YouTube™'a Yükleniyor"
"[english]YouTube_Uploading"	"Uploading Movie to YouTube™"
"YouTube_UploadProgress"	"%s1% - [ %s2 / %s3 kB ]"
"[english]YouTube_UploadProgress"	"%s1% - [ %s2 / %s3 kB ]"
"YouTube_UploadFinishing1"	"Yükleme Bitiriliyor"
"[english]YouTube_UploadFinishing1"	"Finishing Upload"
"YouTube_UploadFinishing2"	"Yükleme Bitiriliyor."
"[english]YouTube_UploadFinishing2"	"Finishing Upload."
"YouTube_UploadFinishing3"	"Yükleme Bitiriliyor.."
"[english]YouTube_UploadFinishing3"	"Finishing Upload.."
"YouTube_UploadFinishing4"	"Yükleme Bitiriliyor..."
"[english]YouTube_UploadFinishing4"	"Finishing Upload..."
"YouTube_FileAlreadyUploaded"	"Film zaten yüklendi. Tekrar yüklemek istediğinden emin misin?"
"[english]YouTube_FileAlreadyUploaded"	"This movie has already been uploaded. Are you sure you want to upload it again?"
"YouTube_LoginResults_Title"	"Giriş Başarısız"
"[english]YouTube_LoginResults_Title"	"Login Failed"
"YouTube_LoginResults_CouldNotConnect"	"İnternet bağlantını kontrol et veya http proxy kullanıyorsan \"youtube_http_proxy\" değerini ayarla ve tekrar dene."
"[english]YouTube_LoginResults_CouldNotConnect"	"Please check your your internet connection settings or set the \"youtube_http_proxy\" convar if you are behind an http proxy and try again."
"YouTube_LoginResults_Forbidden"	"Lütfen kullanıcı adınızı ve parolanızı doğru girdiğinizden emin olun ve yeniden deneyin. İki adımlı doğrulamayı devre dışı bırakmanız gerekebileceğini unutmayın."
"[english]YouTube_LoginResults_Forbidden"	"Please verify that your username and password are correct and try again. Note that you may need to disable 2-step verification."
"YouTube_LoginResults_Failure"	"İnternet bağlantısı ayarlarını kontrol et ve yeniden dene."
"[english]YouTube_LoginResults_Failure"	"Please check your internet connection settings and try again."
"YouTube_LoginResults_Cancel"	"Giriş iptal edildi. Eğer bir sorun var gibi görünüyorsa, internet bağlantı ayarlarını kontrol et veya http proxy kullanıyorsan \"youtube_http_proxy\" komutunu ideal olan değere ayarla ve tekrar dene."
"[english]YouTube_LoginResults_Cancel"	"Login cancelled. If there appears to be a problem, please check your internet connection settings or set the \"youtube_http_proxy\" convar if you are behind an http proxy and try again."
"YouTube_LoginDlg_Title"	"YouTube™'a Giriş Yap"
"[english]YouTube_LoginDlg_Title"	"Log into YouTube™"
"YouTube_LoginDlg_UserName"	"Kullanıcı Adı"
"[english]YouTube_LoginDlg_UserName"	"Username"
"YouTube_LoginDlg_Password"	"Parola"
"[english]YouTube_LoginDlg_Password"	"Password"
"YouTube_LoginDlg_Register"	"Kayıt Ol"
"[english]YouTube_LoginDlg_Register"	"Register"
"YouTube_LoginDlg_Login"	"Giriş Yap"
"[english]YouTube_LoginDlg_Login"	"Login"
"YouTube_Upload_Title"	"YouTube™'a Yükle"
"[english]YouTube_Upload_Title"	"YouTube™ Upload"
"YouTube_Upload_MissingFile"	"Film dosyası bulunamadığından YouTube™'a yüklenemiyor."
"[english]YouTube_Upload_MissingFile"	"Unable to upload to YouTube™, because the movie file could not be found."
"YouTube_Upload_Success"	"Film başarıyla YouTube™'a yüklendi!"
"[english]YouTube_Upload_Success"	"Movie uploaded to YouTube™ successfully!"
"YouTube_Upload_Failure"	"Film yüklenirken bir hata meydana geldi. Lütfen internet bağlantısı ayarlarınızı kontrol edin ve tekrar deneyin. Ayrıca, YouTube™ hesabınızın bir Google Hesabına bağlı olduğundan emin olun ve http://youtube.com/create_channel aracılığıyla bir kanal oluşturun."
"[english]YouTube_Upload_Failure"	"There was a problem uploading the movie. Please check your internet connection settings and try again. Also, make sure your YouTube™ account is linked to a Google Account and that you have created a channel via http://youtube.com/create_channel."
"YouTube_Upload_InvalidChars_Title"	"Başlıkta '<', '>' veya '&' karakterleri kullanılamaz."
"[english]YouTube_Upload_InvalidChars_Title"	"The characters '<', '>', or '&' are not allowed in the title."
"YouTube_Upload_InvalidChars_Desc"	"Açıklamada '<', '>' veya '&' karakterleri kullanılamaz."
"[english]YouTube_Upload_InvalidChars_Desc"	"The characters '<', '>', or '&' are not allowed in the description."
"YouTube_Upload_MovieIsRaw"	"Bu kayıtlı tekrar ile eşleşen bir film dosyası yok çünkü \"Ham TGA ve WAV çıkart\" seçeneği ile yaratılmış."
"[english]YouTube_Upload_MovieIsRaw"	"There is no movie file associated with this saved replay because it was created using the \"Export raw TGA's/WAV\" option."
"YouTube_UploadDlg_Title"	"YouTube™'a Yükle"
"[english]YouTube_UploadDlg_Title"	"YouTube™ Upload"
"YouTube_UploadDlg_MovieTitle"	"Başlık"
"[english]YouTube_UploadDlg_MovieTitle"	"Title"
"YouTube_UploadDlg_MovieDesc"	"Açıklama"
"[english]YouTube_UploadDlg_MovieDesc"	"Description"
"YouTube_UploadDlg_Disclaimer"	"'Yükle'ye tıkladığında YouTube™ kanalına yükleyeceksin. Bu işlem ile filminin YouTube™ Kullanım Şartlarını kabul ettiğini onaylıyorsun."
"[english]YouTube_UploadDlg_Disclaimer"	"By clicking 'Upload,' you will upload to your own YouTube™ channel.  You hereby confirm that your movie complies with the YouTube™ Terms of Service."
"YouTube_UploadDlg_Terms"	"YouTube™ Kullanım Şartları"
"[english]YouTube_UploadDlg_Terms"	"YouTube™ T.O.S."
"YouTube_UploadDlg_Upload"	"Yükle"
"[english]YouTube_UploadDlg_Upload"	"Upload"
"YouTube_UploadDlg_Unlisted"	"Listelenmeyen (Kullanıcıların videoyu görmesi için bağlantı adresi gerekir)"
"[english]YouTube_UploadDlg_Unlisted"	"Unlisted (users will need the URL to view the video)"
"YouTube_Stats"	"%s2 izlenme\n%s3 beğenme\n%s1 favori"
"[english]YouTube_Stats"	"%s2 view(s)\n%s3 like(s)\n%s1 favorited"
"YouTube_PrivateVideo"	"YouTube™ videosu özel olarak ayarlandı."
"[english]YouTube_PrivateVideo"	"YouTube™ video is set as private."
"YouTube_NoStats"	"Mevcut Değil"
"[english]YouTube_NoStats"	"N/A"
"YouTube_CouldNotRetrieveStats"	"Bulunamadı"
"[english]YouTube_CouldNotRetrieveStats"	"Not Found"
"YouTube_EmailSubject"	"Harika Team Fortress 2 Videomu İzle!"
"[english]YouTube_EmailSubject"	"Watch my Awesome Team Fortress 2 Video!"
"YouTube_UploadDlg_SaxxyAwardsSubmission"	"2012 Saxxy Ödülleri için değerlendirilmek üzere gönderin"
"[english]YouTube_UploadDlg_SaxxyAwardsSubmission"	"Submit for consideration in the 2012 Saxxy Awards"
}
}
