"lang"
{
"Language"	"korean"
"Tokens"
{
"testcommands"	"<clr:255,0,0>This is red<I> and italics<B> and<cr>bold<B><I><clr:255,255,255> white again."
"[english]testcommands"	"<clr:255,0,0>This is red<I> and italics<B> and <cr>bold<B><I><clr:255,255,255> white again."
"barn.anotherdropship"	"또 드롭쉽이다!"
"[english]barn.anotherdropship"	"Another dropship! "
"barn.bunyip"	" "
"[english]barn.bunyip"	" "
"barn.chatter"	"라디오 전파 포착 중이었습니다. 박사님 차를 찾고 있었어요."
"[english]barn.chatter"	"We're picking up radio chatter. They're looking for your car. "
"barn.comeonin"	"들어오세요."
"[english]barn.comeonin"	"Come on in. "
"barn.crapships"	"아, 이런. 드롭쉽이 와요!"
"[english]barn.crapships"	"Oh crap. Here come the dropships! "
"barn.ditchcar"	"차를 버려야 합니다, 프리맨 박사님. 그들이 지금 차를 찾고 있어요."
"[english]barn.ditchcar"	"You're gonna have to ditch the car, Freeman. They're looking for it now. "
"barn.drivecarinhere"	"이쪽으로 차를 모세요!"
"[english]barn.drivecarinhere"	"Drive the car in here. "
"barn.drop_barn"	"드롭쉽! 헛간 옆이다!"
"[english]barn.drop_barn"	"Dropship! By the barn! "
"barn.drop_field"	"드롭쉽! 들판 너머다!"
"[english]barn.drop_field"	"Dropship! Over the field! "
"barn.drop_lite"	"저기! 등대에 드롭쉽이 있다!"
"[english]barn.drop_lite"	"Incoming! Dropship at the lighthouse! "
"barn.drop_road"	"드롭쉽! 길 너머로 온다!"
"[english]barn.drop_road"	"Dropship! Coming in over the road! "
"barn.exit_cliffpath"	"이쪽이에요, 박사님. 다른 무장헬기에 발각되기 전에 절벽쪽으로 가야 합니다."
"[english]barn.exit_cliffpath"	"This way, Dr. Freeman. We'll take the cliff path before another gunship finds us. "
"barn.exit_comewith"	"프리맨 박사님 어서 가요, 다른 무장헬기가 오기 전에 어서 가야 해요."
"[english]barn.exit_comewith"	"All right, Dr. Freeman, come with me. Before another one comes. "
"barn.exit_killship"	"무장헬기를 처치하고 난 후 벼랑쪽 길로 안내할게요. 우리를 괴롭히는 저 물체를 처리해야만 그쪽으로 갈 수 있어요."
"[english]barn.exit_killship"	"I'll take you out on the cliffside path as soon as you kill that gunship. There's no way we can make it with that thing harassing us. "
"barn.exit_killshipnag"	"무장헬기를 처치한 후에 가죠."
"[english]barn.exit_killshipnag"	"Kill the gunship, then we'll go. "
"barn.exit_watchstep"	"저쪽으로 쭉 가세요. 조심하시고요."
"[english]barn.exit_watchstep"	"Right along there.  And watch your step. "
"barn.getcarinbarn"	"어서요, 차를 헛간에 넣어요."
"[english]barn.getcarinbarn"	"Hurry, get your car in the barn! "
"barn.getcaringarage"	"차를 차고에 넣어요!"
"[english]barn.getcaringarage"	"Get your car in the garage. "
"barn.getcarinhere"	"여기에 차를 넣어요!"
"[english]barn.getcarinhere"	"Get your car in here! "
"barn.getcarinthere"	"거기에 차를 넣어요!"
"[english]barn.getcarinthere"	"Get your car in there! "
"barn.getoffroad01"	"길에서 벗어나요."
"[english]barn.getoffroad01"	"Get off the road! "
"barn.getoffroad01a"	"길에서 벗어나요!"
"[english]barn.getoffroad01a"	"Get off the road! "
"barn.getoffroad02"	"차를 길 밖으로 몰아요."
"[english]barn.getoffroad02"	"Get your car off the road! "
"barn.gettauoff"	" "
"[english]barn.gettauoff"	" "
"barn.heretheycome"	"그들이 와요!"
"[english]barn.heretheycome"	"Here they come! "
"barn.incomingdropship"	"드롭쉽 출현!"
"[english]barn.incomingdropship"	"Incoming dropship! "
"barn.lighthouse_morale"	"박사님 - 여기서부터는 걸어가셔야 합니다. 절벽을 따라 비밀 통로가 있지만 일단 저 공격부터 막아내야만 갈 수 있습니다. 여기서 저희와 같이 싸워주시면 다들 사기가 높아져 이길 수 있을 겁니다."
"[english]barn.lighthouse_morale"	"Okay, Doc, you'll have to go on foot from here. There's a secret path along the cliffside, but no one's going anywhere until we fight off this attack. Having you here to fight alongside us will make a big difference for morale. "
"barn.lite_gunship01"	"무장헬기다!"
"[english]barn.lite_gunship01"	"It's a gunship! "
"barn.lite_gunship02"	"무장헬기!"
"[english]barn.lite_gunship02"	"Gunship! "
"barn.lite_rockets01"	"등대로 가세요, 프리맨 박사님. 거기에 로켓이 있어요!"
"[english]barn.lite_rockets01"	"Head for the lighthouse, Freeman, there's rockets in there! "
"barn.lite_rockets02"	"등대에 로켓을 보관해 두었습니다. 다음대로 쓰세요!"
"[english]barn.lite_rockets02"	"We stowed our rockets in the lighthouse. Help yourself. "
"barn.lite_rockets03"	"박사님! 혹시 발사기가 있으면 등대에 로켓이 가득 있어요!"
"[english]barn.lite_rockets03"	"Freeman, if you've got a launcher, the lighthouse is full of rockets. "
"barn.lite_rockets04"	"등대에서 발사기에 로켓을 가득 채워넣을 수 있을 거에요 박사님."
"[english]barn.lite_rockets04"	"You'll find the launcher for your rockets up in the lighthouse, Freeman. "
"barn.nowwhat"	"오 이런, 또 뭐야?"
"[english]barn.nowwhat"	"Oh man, now what? "
"barn.parkit"	"거기에 넣어요!"
"[english]barn.parkit"	"Park it there! "
"barn.stashinbarn"	"차를 차고에 넣어요!"
"[english]barn.stashinbarn"	"Stash your car in the barn! "
"barn.vmech_accept"	"프리맨은 이 무기를 받을 것이오. 안 그러면 앞날이 매우 험난할 것이오!"
"[english]barn.vmech_accept"	"The Freeman will accept this weapon, or suffer greatly on the road ahead! "
"barn.vmech_proceed"	"프리맨은 타우 입자 캐논을 반드시 가지고 가야 하오!"
"[english]barn.vmech_proceed"	"The Freeman must not proceed without the tau particle cannon! "
"barn.vmech_remove"	" "
"[english]barn.vmech_remove"	" "
"barn.vmech_wisely"	"타우 캐논은 한 때 우리 백성을 많이 죽였소. 지혜롭게 쓰시오."
"[english]barn.vmech_wisely"	"This tau cannon once killed many of our kind. Use it wisely. "
"barn.youmadeit"	"해냈군요!"
"[english]barn.youmadeit"	"You made it! "
"breencast.br_collaboration01"	"<clr:188,188,188><I>최근에 일부 시민들이 비열하다는 뜻으로 저를 협조자라고 부른다는 얘기를 들었습니다."
"[english]breencast.br_collaboration01"	"<clr:188,188,188><I>It has come to my attention that some have lately called me a collaborator, as if such a term were shameful. "
"breencast.br_collaboration01_pl"	"<clr:188,188,188><I>최근에 일부 시민들이 비열하다는 뜻으로 저를 협조자라고 부른다는 얘기를 들었습니다."
"[english]breencast.br_collaboration01_pl"	"<clr:188,188,188><I>It has come to my attention that some have lately called me a collaborator, as if such a term were shameful. "
"breencast.br_collaboration02"	"<clr:188,188,188><I>묻겠습니다. 협조보다 더 위대한 노력이 있습니까?"
"[english]breencast.br_collaboration02"	"<clr:188,188,188><I>I ask you, what greater endeavor exists than that of collaboration? "
"breencast.br_collaboration02_pl"	"<clr:188,188,188><I>묻겠습니다. 협조보다 더 위대한 노력이 있습니까?"
"[english]breencast.br_collaboration02_pl"	"<clr:188,188,188><I>I ask you, what greater endeavor exists than that of collaboration? "
"breencast.br_collaboration03"	"<clr:188,188,188><I>인류가 여태껏 한 번도 겪은 적 없는 현재 상황에서 협조를 거부하는 것은 바로 성장을 거부하는 것입니다."
"[english]breencast.br_collaboration03"	"<clr:188,188,188><I>In our current unparalleled enterprise, refusal to collaborate is simply a refusal to grow--an insistence on suicide, if you will. "
"breencast.br_collaboration03_pl"	"<clr:188,188,188><I>인류가 여태껏 한 번도 겪은 적 없는 현재 상황에서 협조를 거부하는 것은 바로 성장을 거부하는 것입니다."
"[english]breencast.br_collaboration03_pl"	"<clr:188,188,188><I>In our current unparalleled enterprise, refusal to collaborate is simply a refusal to grow--an insistence on suicide, if you will. "
"breencast.br_collaboration04"	"<clr:188,188,188><I>폐어가 공기로 숨쉬는 것을 거부했나요? 아닙니다."
"[english]breencast.br_collaboration04"	"<clr:188,188,188><I>Did the lungfish refuse to breathe air? It did not. "
"breencast.br_collaboration04_pl"	"<clr:188,188,188><I>폐어가 공기로 숨쉬는 것을 거부했나요? 아닙니다."
"[english]breencast.br_collaboration04_pl"	"<clr:188,188,188><I>Did the lungfish refuse to breathe air? It did not. "
"breencast.br_collaboration05"	"<clr:188,188,188><I>형제들이 깊은 바다 암흑에 갇혀 무지와 절망을 모른 채 어둠 속을 주시하는 동안 이 폐어는 용감하게 앞으로 전진했습니다."
"[english]breencast.br_collaboration05"	"<clr:188,188,188><I>It crept forth boldly while its brethren remained in the blackest ocean abyss, with lidless eyes forever staring at the dark, ignorant and doomed despite their eternal vigilance. "
"breencast.br_collaboration05_pl"	"<clr:188,188,188><I>형제들이 깊은 바다 암흑에 갇혀 무지와 절망을 모른 채 어둠 속을 주시하는 동안 이 폐어는 용감하게 앞으로 전진했습니다."
