"lang" 
{ 
"Language" "finnish" 
"Tokens" 
{ 
"Chess_Name"						"Shakki"
"[english]Chess_Name"						"Chess"
"Chess_PickWhite"					"Valkoinen (siirtää ensimmäisenä)"
"[english]Chess_PickWhite"					"White (Play First)"
"Chess_PickBlack"					"Musta (siirtää toisena)"
"[english]Chess_PickBlack"					"Black (Play Second)"
"Chess_ChooseWhite"					"Olet valinnut valkoisen. Sinä siirrät ensin.
"
"[english]Chess_ChooseWhite"					"You have chosen White. You make the first move.
"
"Chess_ChooseBlack"					"Olet valinnut mustan. Vastustaja siirtää ensin.
"
"[english]Chess_ChooseBlack"					"You have chosen Black. Your opponent makes the first move.
"
"Chess_OppChooseWhite"					"Vastustaja on valinnut valkoisen. On vastustajan siirtovuoro.
"
"[english]Chess_OppChooseWhite"					"Your opponent has chosen White. It is their move.
"
"Chess_OppChooseBlack"					"Vastustaja on valinnut mustan. On sinun siirtovuorosi.
"
"[english]Chess_OppChooseBlack"					"Your opponent has chosen Black. It is your move.
"
"Chess_WaitPawnPromotion"				"Odotetaan vastapelaajan sotilaan ylennysvalintaa.
"
"[english]Chess_WaitPawnPromotion"				"Waiting on other player's pawn promotion choice.
"
"Chess_TurnCheck"					"Vuoro %s1: %s2 shakki
"
"[english]Chess_TurnCheck"					"Turn %s1: %s2 Check
"
"Chess_TurnCheckmate"					"Vuoro %s1: %s2 SHAKKIMATTI
"
"[english]Chess_TurnCheckmate"					"Turn %s1: %s2 CHECKMATE
"
"Chess_MyCheckmate"					"Shakkimatti. Voitit pelaajan %s1 shakissa."
"[english]Chess_MyCheckmate"					"Checkmate. You have beaten %s1 in Chess."
"Chess_OppCheckmate"					"Shakkimatti. %s1 voitti sinut shakissa."
"[english]Chess_OppCheckmate"					"Checkmate. %s1 has beaten you in Chess."
"Chess_Stalemate"					"Peli on pattitilanteessa.
"
"[english]Chess_Stalemate"					"The game has reached a stalemate.
"
"Chess_StalemateClose_Text"				"Sinä ja %s1 olette pattitilanteessa."
"[english]Chess_StalemateClose_Text"				"You and %s1 have reached a stalemate."
"Chess_TurnCastle"					"Vuoro %s1: %s2 linnoittautuminen
"
"[english]Chess_TurnCastle"					"Turn %s1: %s2 Castle
"
"Chess_TurnPawnEnPassant"				"Vuoro %s1: %s2 sotilaan ohestalyönti
"
"[english]Chess_TurnPawnEnPassant"				"Turn %s1: %s2 pawn en passant
"
"Chess_TurnPawnPromotion"				"Vuoro %s1: %s2 sotilaan ylennys %s3
"
"[english]Chess_TurnPawnPromotion"				"Turn %s1: %s2 pawn promotion to %s3
"	
"Chess_Queen"						"kuningattareksi"
"[english]Chess_Queen"						"Queen"
"Chess_Rook"						"torniksi"
"[english]Chess_Rook"						"Rook"
"Chess_Bishop"						"lähetiksi"
"[english]Chess_Bishop"						"Bishop"
"Chess_Knight"						"ratsuksi"
"[english]Chess_Knight"						"Knight"
"Chess_PawnPromotion_Text"				"Sotilaasi on saavuttanut viimeisen rivin.
Sinun on ylennettävä se."
"[english]Chess_PawnPromotion_Text"				"Your pawn has reached the last row.
You must promote it."
"Chess_PromoteQueen"					"Ylennä kuningattareksi"
"[english]Chess_PromoteQueen"					"Promote To Queen"
"Chess_PromoteRook"					"Ylennä torniksi"
"[english]Chess_PromoteRook"					"Promote To Rook"
"Chess_PromoteBishop"					"Ylennä lähetiksi"
"[english]Chess_PromoteBishop"					"Promote To Bishop"
"Chess_PromoteKnight"					"Ylennä ratsuksi"
"[english]Chess_PromoteKnight"					"Promote To Knight"
"Chess_PawnPromotion_Title"				"Shakki - Sotilaan ylennys"
"[english]Chess_PawnPromotion_Title"				"Chess - Pawn Promotion"
"Chess_MoveHistory_Title"				"Shakki - Siirtohistoria"
"[english]Chess_MoveHistory_Title"				"Chess - Move History"
} 
}  
