"lang" 
{ 
"Language" "danish" 
"Tokens" 
{ 
"Chess_Name"						"Skak"
"[english]Chess_Name"						"Chess"
"Chess_PickWhite"					"Hvid (spiller først)"
"[english]Chess_PickWhite"					"White (Play First)"
"Chess_PickBlack"					"Sort (spiller som nr. to)"
"[english]Chess_PickBlack"					"Black (Play Second)"
"Chess_ChooseWhite"					"Du har valgt hvid. Du har det første træk.
"
"[english]Chess_ChooseWhite"					"You have chosen White. You make the first move.
"
"Chess_ChooseBlack"					"Du har valgt sort. Din modstander har det første træk.
"
"[english]Chess_ChooseBlack"					"You have chosen Black. Your opponent makes the first move.
"
"Chess_OppChooseWhite"					"Din modstander har valgt hvid. Trækket er modstanderens.
"
"[english]Chess_OppChooseWhite"					"Your opponent has chosen White. It is their move.
"
"Chess_OppChooseBlack"					"Din modstander har valgt sort. Det er din tur.
"
"[english]Chess_OppChooseBlack"					"Your opponent has chosen Black. It is your move.
"
"Chess_WaitPawnPromotion"				"Venter på den anden spillers valg vedr. forfremmelse af bonde.
"
"[english]Chess_WaitPawnPromotion"				"Waiting on other player's pawn promotion choice.
"
"Chess_TurnCheck"					"Træk %s1: %s2 skak
"
"[english]Chess_TurnCheck"					"Turn %s1: %s2 Check
"
"Chess_TurnCheckmate"					"Træk %s1: %s2 SKAKMAT
"
"[english]Chess_TurnCheckmate"					"Turn %s1: %s2 CHECKMATE
"
"Chess_MyCheckmate"					"Skakmat. Du har besejret %s1 i skak."
"[english]Chess_MyCheckmate"					"Checkmate. You have beaten %s1 in Chess."
"Chess_OppCheckmate"					"Skakmat. %s1 har besejret dig i skak."
"[english]Chess_OppCheckmate"					"Checkmate. %s1 has beaten you in Chess."
"Chess_Stalemate"					"Spillet har nået pat.
"
"[english]Chess_Stalemate"					"The game has reached a stalemate.
"
"Chess_StalemateClose_Text"				"Du og %s1 har nået pat."
"[english]Chess_StalemateClose_Text"				"You and %s1 have reached a stalemate."
"Chess_TurnCastle"					"Træk %s1: %s2 rokade
"
"[english]Chess_TurnCastle"					"Turn %s1: %s2 Castle
"
"Chess_TurnPawnEnPassant"				"Træk %s1: %s2 bonde en passant
"
"[english]Chess_TurnPawnEnPassant"				"Turn %s1: %s2 pawn en passant
"
"Chess_TurnPawnPromotion"				"Træk %s1: %s2 bonde forfremmelse til %s3
"
"[english]Chess_TurnPawnPromotion"				"Turn %s1: %s2 pawn promotion to %s3
"	
"Chess_Queen"						"Dronning"
"[english]Chess_Queen"						"Queen"
"Chess_Rook"						"Tårn"
"[english]Chess_Rook"						"Rook"
"Chess_Bishop"						"Løber"
"[english]Chess_Bishop"						"Bishop"
"Chess_Knight"						"Springer"
"[english]Chess_Knight"						"Knight"
"Chess_PawnPromotion_Text"				"Din bonde har nået sidste række.
Du skal forfremme den."
"[english]Chess_PawnPromotion_Text"				"Your pawn has reached the last row.
You must promote it."
"Chess_PromoteQueen"					"Forfrem til dronning"
"[english]Chess_PromoteQueen"					"Promote To Queen"
"Chess_PromoteRook"					"Forfrem til tårn"
"[english]Chess_PromoteRook"					"Promote To Rook"
"Chess_PromoteBishop"					"Forfrem til løber"
"[english]Chess_PromoteBishop"					"Promote To Bishop"
"Chess_PromoteKnight"					"Forfrem til springer"
"[english]Chess_PromoteKnight"					"Promote To Knight"
"Chess_PawnPromotion_Title"				"Skak – Forfremmelse af bonde"
"[english]Chess_PawnPromotion_Title"				"Chess - Pawn Promotion"
"Chess_MoveHistory_Title"				"Skak – Oversigt over træk"
"[english]Chess_MoveHistory_Title"				"Chess - Move History"
} 
}  
