"lang"
{
"Language"	"czech"
"Tokens"
{
"quest25000desc0"	"Pro dokončení tohoto kontraktu budeš muset jako Scout splnit několik různých úkolů."
"[english]quest25000desc0"	"Complete various tasks as Scout to complete this contract."
"quest25000desc1"	"************

KONTRAKT OD SPOLEČNOSTI MANNCO

MÁTE 1 NOVOU ZPRÁVU 
ID ZPRÁVY: <915PAULING>

ZPRACOVÁNÍ...

************

SCOUTE? TADY PAULINGOVÁ. PŘESTAŇ SE NAPAROVAT A PODÍVEJ SE NA TOHLE. A SCOUTE? PROVEĎ TO V TICHOSTI. ROZUMÍŠ? V TICHOSTI.

<KONEC PŘEPISU>

************"
"[english]quest25000desc1"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SCOUT? PAULING HERE. WRAP UP WHATEVER YOU WERE BRAGGING ABOUT AND LOOK AT THIS. AND SCOUT? I NEED THIS DONE QUIETLY. SCOUT? QUIETLY.

<END TRANSCRIPT>

************"
"quest25000desc2"	"************

KONTRAKT OD SPOLEČNOSTI MANNCO

MÁTE 1 NOVOU ZPRÁVU 
ID ZPRÁVY: <915PAULING>

ZPRACOVÁNÍ...

************

AHOJ, SCOUTE. TADY PAULINGOVÁ. POSLYŠ, DOSTALA JSEM TVOJI ZPRÁVU. ZPRÁVY. A, UH, DÍKY ZA NĚ [5 SEKUND TICHO] DÍKY ZA TY ZPRÁVY. [6 SEKUND TICHO] ALE KVŮLI TOMU NEVOLÁM, MÁM PRO TEBE PRÁCI. JE TO TAJNÉ, TAKŽE O TOM NIKOMU NEŘÍKEJ. HMM, TEĎ MI DOŠLO, S KÝM TO VLASTNĚ MLUVÍM A JAK HLOUPĚ TO ZNĚLO. PROSTĚ O TOM ZKUS ŘÍCT OSTATNÍM CO NEJMÉNĚ, ANO? DOBŘE, MĚJ SE.

<KONEC PŘEPISU>

************"
"[english]quest25000desc2"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************
HEY, SCOUT. IT'S PAULING. I, UH, GOT YOUR PHONE MESSAGE. MESSAGES. ALL OF THEM. SO THANKS FOR [00:05 SILENCE] THANKS FOR ALL THOSE. [00:06 SILENCE] ANYWAY, LISTEN, I'VE GOT WORK. THIS IS LOW PROFILE, SO DON'T TELL ANYONE ABOUT IT. I JUST REMEMBERED WHO I WAS TALKING TO AND HOW STUPID THAT SENTENCE WAS, LOOK, JUST DON'T TELL ANYONE TOO MUCH ABOUT IT, OKAY? OKAY, BYE.

<END TRANSCRIPT>

************"
"quest25000name0"	"Kontrakt pro Scouta"
"[english]quest25000name0"	"Scout Contract"
"quest25000objectivedesc0"	"Jako Scout získej bod: %s1"
"[english]quest25000objectivedesc0"	"Score points as Scout: %s1"
"quest25000objectivedesc1"	"Jako Scout zabij nepřítele při skoku: %s1"
"[english]quest25000objectivedesc1"	"Kill while mid-jump as Scout: %s1"
"quest25000objectivedesc2"	"Jako Scout zabij Demomana: %s1"
"[english]quest25000objectivedesc2"	"Kill a Demoman as Scout: %s1"
"quest25000objectivedesc3"	"Jako Scout splň úkol mapy: %s1"
"[english]quest25000objectivedesc3"	"Capture an objective as Scout: %s1"
"quest25000objectivedesc4"	"Jako Scout zabij nepřítele: %s1"
"[english]quest25000objectivedesc4"	"Kill as Scout: %s1"
"quest25000objectivedesc5"	"Jako Scout zabij Medica: %s1"
"[english]quest25000objectivedesc5"	"Kill a Medic as Scout: %s1"
"quest25001desc0"	"Pro dokončení tohoto kontraktu budeš muset jako Soldier splnit několik různých úkolů."
"[english]quest25001desc0"	"You will be required to complete various tasks as Soldier to complete this contract."
"quest25001desc1"	"************

KONTRAKT OD SPOLEČNOSTI MANNCO

MÁTE 1 NOVOU ZPRÁVU 
ID ZPRÁVY: <915PAULING>

ZPRACOVÁNÍ...

************

TADY PAULINGOVÁ, VOJÍNE. TVOJE ZEMĚ TĚ POTŘEBUJE. UKAŽ TĚM NOVÁČKŮM, JAK SE TO DĚLÁ.

<KONEC PŘEPISU>

************"
"[english]quest25001desc1"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER? IT'S PAULING, SON. YOUR COUNTRY NEEDS YOU. SHOW THESE MAGGOTS HOW IT'S DONE.

<END TRANSCRIPT>

************"
"quest25001desc2"	"************

KONTRAKT OD SPOLEČNOSTI MANNCO

MÁTE 1 NOVOU ZPRÁVU 
ID ZPRÁVY: <915PAULING>

ZPRACOVÁNÍ...

************

PÓZOR! ALFA. ROMEO. DELTA. DALŠÍ VOJENSKÁ SLOVA. MÁM PRO TEBE PRÁCI, SOLDIERE. TAK MĚ NEZKLAM.

<KONEC PŘEPISU>

************"
"[english]quest25001desc2"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

TEN HUT, SOLDIER. ALPHA. ROMEO. ZERO DARK ARMY WORDS. I'VE GOT A JOB FOR YOU, SOLDIER. MAKE ME PROUD, SON.

<END TRANSCRIPT>

************"
"quest25001desc3"	"************

KONTRAKT OD SPOLEČNOSTI MANNCO

MÁTE 1 NOVOU ZPRÁVU 
ID ZPRÁVY: <915PAULING>

ZPRACOVÁNÍ...

************

KDYBY TAHLE MISE NEBYLA PŘÍSNĚ TAJNÁ, BYL BY Z TEBE HRDINA, VOJÍNE. USPOŘÁDALI BY TI PŘEHLÍDKU. A DOSTAL BYS MEDAILE. A NA NICH BY BYLY FOTKY TÉ PŘEHLÍDKY.

<KONEC PŘEPISU>

************"
"[english]quest25001desc3"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

IF THIS MISSION WEREN'T MAXIMUM DENIABILITY, YOU'D BE A HERO FOR THIS, SON. THERE WOULD BE A PARADE. AND MEDALS. WITH PICTURES OF THE PARADE ON THEM.

<END TRANSCRIPT>

************"
"quest25001desc4"	"************

KONTRAKT OD SPOLEČNOSTI MANNCO

MÁTE 1 NOVOU ZPRÁVU 
ID ZPRÁVY: <915PAULING>

ZPRACOVÁNÍ...

************

SOLDIERE, NA TENHLE ÚKOL POTŘEBUJU JAK TEBE, TAK PROTŘELÝHO PETRA, HROZNÝHO HONZU A ZABIJÁKA ZDEŇKA... A VŠECHNY TVOJE DALŠÍ KAMARÁDY Z KARTONU! HLASTE SE ZA PŮL HODINY.

<KONEC PŘEPISU>

************"
"[english]quest25001desc4"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER, I NEED YOU, AND PEPPER POT PETE, AND SALTY PETE, AND PETER PEPPER PANTS -- HELL, ALL YOUR CARDBOARD FRIENDS ON THIS ONE. 

<END TRANSCRIPT>

************"
"quest25001desc5"	"************

KONTRAKT OD SPOLEČNOSTI MANNCO

MÁTE 1 NOVOU ZPRÁVU 
ID ZPRÁVY: <915PAULING>

ZPRACOVÁNÍ...

************

SOLDIERE, VÍŠ, KDO BY NEPŘIJAL TUHLE MISI? HIPÍCI. KOMUNISTI. TOM JONES. NEBUĎ JAKO ONI, SOLDIERE.

<KONEC PŘEPISU>

************"
"[english]quest25001desc5"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER, YOU KNOW WHO DOESN'T WANT YOU TO TAKE THIS JOB? HIPPIES. COMMUNISTS. TOM JONES. SHOW THEM, SOLDIER. SHOW THEM ALL.

<END TRANSCRIPT>

************"
"quest25001name0"	"Kontrakt pro Soldiera"
"[english]quest25001name0"	"Soldier Contract"
"quest25001objectivedesc0"	"Jako Soldier získej bod: %s1"
"[english]quest25001objectivedesc0"	"Score points as Soldier: %s1"
"quest25001objectivedesc1"	"Jako Soldier zabij nepřítele sekundární zbraní: %s1"
"[english]quest25001objectivedesc1"	"Secondary weapon kill as Soldier: %s1"
"quest25001objectivedesc10"	"Jako Soldier zabij Snipera: %s1"
"[english]quest25001objectivedesc10"	"Snipers killed as Soldier: %s1"
"quest25001objectivedesc11"	"Jako Soldier zabij Spye: %s1"
"[english]quest25001objectivedesc11"	"Spies killed as Soldier: %s1"
"quest25001objectivedesc12"	"Jako Soldier zabij nepřítele: %s1"
"[english]quest25001objectivedesc12"	"Kill as Soldier: %s1"
