"lang"
{
"Language"	"ukrainian"
"Tokens"
{
"quest25000desc0"	"Виконуйте різні завдання як розвідник, щоби завершити цей контракт."
"[english]quest25000desc0"	"Complete various tasks as Scout to complete this contract."
"quest25000desc1"	"************

КОНТРАКТ МАНН КО. ФАКС 1.54.45

1 НОВЕ ПОВІДОМЛЕННЯ
КОД ПОВІДОМЛЕННЯ: <915PAULING>

ОПРАЦЮВАННЯ...

************

РОЗВІДНИК? ЦЕ ПОЛІНГ. ЗАВЕРШУЙ БАЗІКАТИ  І ГЛЯНЬ НА ЦЕ. І ЩЕ: ЗАВДАННЯ СЛІД ВИКОНАТИ ТИХО. ЗРОЗУМІВ? ТИХО.

<КІНЕЦЬ ЗАПИСУ>

************"
"[english]quest25000desc1"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SCOUT? PAULING HERE. WRAP UP WHATEVER YOU WERE BRAGGING ABOUT AND LOOK AT THIS. AND SCOUT? I NEED THIS DONE QUIETLY. SCOUT? QUIETLY.

<END TRANSCRIPT>

************"
"quest25000desc2"	"************

КОНТРАКТ МАНН КО. ФАКС 1.54.45

1 НОВЕ ПОВІДОМЛЕННЯ
КОД ПОВІДОМЛЕННЯ: <915PAULING>

ОПРАЦЮВАННЯ...

************

АГОВ, РОЗВІДНИКУ? ЦЕ ПОЛІНГ. Я, ГМ, ОТРИМАЛА ТВОЄ ПОВІДОМЛЕННЯ. УСІ ТВОЇ ПОВІДОМЛЕННЯ. ТОЖ ДЯКУЮ [ТИША 00:05] ДЯКУЮ ЗА ВСЕ ТЕ. [ТИША 00:06] ГАРАЗД, СЛУХАЙ, Є РОБОТА. ВОНА СЕКРЕТНА, ТОМУ НЕ ГОВОРИ НІКОМУ. ХОЧ Я ЗГАДАЛА, КОМУ КАЖУ ЦЕ, І ЯК ЦЕ ПО-ДУРНОМУ ЗВУЧИТЬ. ТОЖ ХОЧА Б НЕ ГОВОРИ ЗАБАГАТО, ДОБРЕ? ДАВАЙ, БУВАЙ.

<КІНЕЦЬ ЗАПИСУ>

************"
"[english]quest25000desc2"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************
HEY, SCOUT. IT'S PAULING. I, UH, GOT YOUR PHONE MESSAGE. MESSAGES. ALL OF THEM. SO THANKS FOR [00:05 SILENCE] THANKS FOR ALL THOSE. [00:06 SILENCE] ANYWAY, LISTEN, I'VE GOT WORK. THIS IS LOW PROFILE, SO DON'T TELL ANYONE ABOUT IT. I JUST REMEMBERED WHO I WAS TALKING TO AND HOW STUPID THAT SENTENCE WAS, LOOK, JUST DON'T TELL ANYONE TOO MUCH ABOUT IT, OKAY? OKAY, BYE.

<END TRANSCRIPT>

************"
"quest25000name0"	"Контракт розвідника"
"[english]quest25000name0"	"Scout Contract"
"quest25000objectivedesc0"	"Заробіть очки як розвідник: %s1"
"[english]quest25000objectivedesc0"	"Score points as Scout: %s1"
"quest25000objectivedesc1"	"Убийте під час стрибку як розвідник: %s1"
"[english]quest25000objectivedesc1"	"Kill while mid-jump as Scout: %s1"
"quest25000objectivedesc2"	"Убийте підривника як розвідник: %s1"
"[english]quest25000objectivedesc2"	"Kill a Demoman as Scout: %s1"
"quest25000objectivedesc3"	"Захопіть ціль як розвідник: %s1"
"[english]quest25000objectivedesc3"	"Capture an objective as Scout: %s1"
"quest25000objectivedesc4"	"Убийте як розвідник: %s1"
"[english]quest25000objectivedesc4"	"Kill as Scout: %s1"
"quest25000objectivedesc5"	"Убийте медика як розвідник: %s1"
"[english]quest25000objectivedesc5"	"Kill a Medic as Scout: %s1"
"quest25001desc0"	"Вам необхідно виконати різні завдання як солдат, щоби завершити цей контракт."
"[english]quest25001desc0"	"You will be required to complete various tasks as Soldier to complete this contract."
"quest25001desc1"	"************

КОНТРАКТ МАНН КО. ФАКС 1.54.45

1 НОВЕ ПОВІДОМЛЕННЯ
КОД ПОВІДОМЛЕННЯ: <915PAULING>

ОПРАЦЮВАННЯ...

************

СОЛДАТЕ? СИНКУ, ГОВОРИТЬ ПОЛІНГ. КРАЇНА ПОТРЕБУЄ ТЕБЕ. ПОКАЖИ ЦИМ ХРОБАКАМ, ДЕ РАКИ ЗИМУЮТЬ.

<КІНЕЦЬ ЗАПИСУ>

************"
"[english]quest25001desc1"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER? IT'S PAULING, SON. YOUR COUNTRY NEEDS YOU. SHOW THESE MAGGOTS HOW IT'S DONE.

<END TRANSCRIPT>

************"
"quest25001desc2"	"************

КОНТРАКТ МАНН КО. ФАКС 1.54.45

1 НОВЕ ПОВІДОМЛЕННЯ
КОД ПОВІДОМЛЕННЯ: <915PAULING>

ОПРАЦЮВАННЯ...

************

СТРУНКО, СОЛДАТЕ! АЛЬФА, РОМЕО, ЗЕРО ТА ІНШІ ВІЙСЬКОВІ СЛОВА. МАЮ РОБОТУ ДЛЯ ТЕБЕ, СОЛДАТЕ. ЗМУСЬ МЕНЕ ПИШАТИСЯ ТОБОЮ, СИНКУ.

<КІНЕЦЬ ЗАПИСУ>

************"
"[english]quest25001desc2"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

TEN HUT, SOLDIER. ALPHA. ROMEO. ZERO DARK ARMY WORDS. I'VE GOT A JOB FOR YOU, SOLDIER. MAKE ME PROUD, SON.

<END TRANSCRIPT>

************"
"quest25001desc3"	"************

КОНТРАКТ МАНН КО. ФАКС 1.54.45

1 НОВЕ ПОВІДОМЛЕННЯ
КОД ПОВІДОМЛЕННЯ: <915PAULING>

ОПРАЦЮВАННЯ...

************

ЯКБИ ЦЕ ЗАВДАННЯ НЕ БУЛО ТАКЕ ЗАСЕКРЕЧЕНЕ, ТИ Б СТАВ ГЕРОЄМ, СИНКУ. НА ТВОЮ ЧЕСТЬ ВЛАШТУВАЛИ БИ ПАРАД. А ТОБІ ДАЛИ Б МЕДАЛІ. ІЗ ЗОБРАЖЕННЯМ ПАРАДУ.

<КІНЕЦЬ ЗАПИСУ>

************"
"[english]quest25001desc3"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

IF THIS MISSION WEREN'T MAXIMUM DENIABILITY, YOU'D BE A HERO FOR THIS, SON. THERE WOULD BE A PARADE. AND MEDALS. WITH PICTURES OF THE PARADE ON THEM.

<END TRANSCRIPT>

************"
"quest25001desc4"	"************

КОНТРАКТ МАНН КО. ФАКС 1.54.45

1 НОВЕ ПОВІДОМЛЕННЯ
КОД ПОВІДОМЛЕННЯ: <915PAULING>

ОПРАЦЮВАННЯ...

************

СОЛДАТЕ, ТИ МЕНІ ПОТРІБЕН. І ЩЕ ЗАХОПИ ПЕРЕЧНИЦЮ ПІТА, СОЛОНКУ ПІТА, ПІТА-ПЕРЦЯ... КОРОТШЕ, УСІХ ТВОЇХ КАРТОННИХ ДРУЗІВ.

<КІНЕЦЬ ЗАПИСУ>

************"
"[english]quest25001desc4"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER, I NEED YOU, AND PEPPER POT PETE, AND SALTY PETE, AND PETER PEPPER PANTS -- HELL, ALL YOUR CARDBOARD FRIENDS ON THIS ONE. 

<END TRANSCRIPT>

************"
"quest25001desc5"	"************

КОНТРАКТ МАНН КО. ФАКС 1.54.45

1 НОВЕ ПОВІДОМЛЕННЯ
КОД ПОВІДОМЛЕННЯ: <915PAULING>

ОПРАЦЮВАННЯ...

************

СОЛДАТЕ, ЗНАЄШ, ХТО НЕ ХОЧЕ, АБИ ТИ ВЗЯВСЯ ЗА ЦЮ РОБОТУ? ХІПІ, КОМУНІСТИ. ТОМ ДЖОНС. ПОКАЖИ ЇМ, СОЛДАТЕ, ПОКАЖИ ЇМ УСІМ.

<КІНЕЦЬ ЗАПИСУ>

************"
"[english]quest25001desc5"	"************

MANNCO CONTRACT CALL-TO-FAX 1.54.45

YOU HAVE 1 NEW CALL 
MESSAGE-ID: <915PAULING>

PROCESSING...

************

SOLDIER, YOU KNOW WHO DOESN'T WANT YOU TO TAKE THIS JOB? HIPPIES. COMMUNISTS. TOM JONES. SHOW THEM, SOLDIER. SHOW THEM ALL.

<END TRANSCRIPT>

************"
